"Society","Latitude","Agriculture"
"Chumash",34,"1"
"Chuvash",57,"5"
"Coahuilteco",29,"0"
"Coast Yuki",39,"1"
"Cocama",1,"3"
"Cochiti",36,"6"
"Cocopa",32,"5"
"Coeur d’Alene",48,"1"
"Comanche",33,"1"
"Comox",50,"1"
"Coniagui",13,"3"
"Conibo",-9,"3"
"Coorg",12,"5"
"Coos",43,"1"
"Coroa",-8,"3"
"Cowichan",49,"1"
"Creek",33,"3"
"Crow",45,"2"
"Cubeo",1,"3"
"Cuna",9,"3"
"Cupeno",33,"1"
"Curipaco",5,"3"
"Czechs",50,"5"
"Dagari",11,"3"
"Dagomba",9,"3"
"Dagur",49,"0"
"Dahuni",-10,"4"
"Daka",8,"3"
"Dakakari",12,"3"
"Dan",8,"3"
"Dani",-4,"4"
"Darasa",6,"5"
"Dard",35,"5"
"Daza",17,"6"
"Delaware",41,"3"
"Delim",22,"6"
"Dera",10,"5"
"Dian",11,"3"
"Didinga",4,"3"
"Diegueno",32,"1"
"Dieri",-28,"1"
"Digo",-4,"3"
"Dilling",12,"5"
"Dime",6,"5"
"Dinka",9,"3"
"Diola",12,"3"
"Diula",9,"3"
"Djafun",8,"2"
"Djuka",5,"3"
"Dobuans",-10,"4"
"Dogon",15,"5"
"Dogrib",63,"1"
"Dorobo",0,"1"
"Dorosie",11,"3"
"Dorse",6,"5"
"Drawa",31,"0"
"Druze",33,"5"
"Duala",4,"3"
"Duruma",-4,"0"
"Dusun",6,"3"
"Dutch",53,"5"
"Dzem",3,"3"
"Dzing",-4,"3"
"Easter Island",-27,"3"
"Eastern Cree",51,"1"
"Eastern Mono",37,"1"
"Eastern Ojibwa",46,"1"
"Eastern Pomo",39,"1"
"Edo",6,"3"
"Efik",5,"3"
"Egba",7,"3"
"Egyptians",25,"6"
"Eidekum",6,"0"
"Ekiti",8,"3"
"Ekoi",6,"3"
"Ekonda",-2,"3"
"Elema",-8,"4"
"Elko Shoshoni",41,"1"
"Ellice",-8,"4"
"Ely Shoshoni",39,"2"
"Enga",-6,"3"
"Epi",-17,"0"
"Eromangans",-19,"0"
"Erzia mordva",53,"5"
"Esa",10,"2"
"Estonians",59,"5"
"Evenk",55,"1"
"Ewe",7,"3"
"Eyak",60,"1"
"Fajulu",4,"3"
"Falasha",12,"5"
"Fali",10,"3"
"Fang",1,"3"
"Fanti",6,"3"
"Fipa",-8,"3"
"Flathead",46,"1"
"Fon",7,"3"
"Fore",-6,"4"
"Fox",45,"3"
"French Canadians",47,"5"
"Fungom",7,"0"
"Fur",12,"5"
"Fut",6,"3"
"Futajalonke",11,"3"
"Futunans",-14,"4"
"Ga",6,"3"
"Gabrielo",34,"1"
"Gagauz",45,"5"
"Gagu",7,"3"
"Galab",5,"3"
"Ganda",1,"5"
"Garo",26,"3"
"Gbande",8,"3"
"Gbari",10,"5"
"Georgians",42,"6"
"Gheg",42,"5"
"Gibe",8,"5"
"Gidjingali",-12,"1"
"Gilbert Onotoa",-2,"4"
"Gilyak",53,"1"
"Gimma",13,"6"
