"Society","Latitude","Agriculture"
"Tenino",45,"1"
"Tepehuan",27,"0"
"Tequistlatec",16,"0"
"Tera",11,"3"
"Terena",-21,"3"
"Teso",2,"3"
"Tetela",-4,"0"
"Teton",43,"1"
"Tewa",36,"6"
"Thado",25,"3"
"Thompson",50,"1"
"Thonga",-24,"3"
"Tibetans",30,"6"
"Tigon",17,"3"
"Tigre",17,"3"
"Tigrinya",14,"5"
"Tikar",6,"3"
"Tikopia",-12,"4"
"Timucua",27,"3"
"Tira",11,"5"
"Tiriki",0,"5"
"Tiv",7,"3"
"Tiwi",-12,"1"
"Tlaxcalans",19,"3"
"Tlingit",58,"1"
"Toba",-25,"4"
"Tobelorese",1,"3"
"Toda",12,"1"
"Toedokado",40,"1"
"Tokelau",-9,"4"
"Tolkepaya",34,"3"
"Tolowa",42,"1"
"Toma",11,"3"
"Tongans",-20,"4"
"Tongarevans",-9,"4"
"Topoke",0,"3"
"Topotha",5,"3"
"Toradja",-2,"3"
"Toro",1,"3"
"Totonac",20,"3"
"Trarza",18,"6"
"Tristan da Cunha",-37,"5"
"Trobriands",-8,"4"
"Trukese",7,"4"
"Trumai",-12,"3"
"Tsamai",5,"6"
"Tsimshian",55,"1"
"Tswana",-24,"3"
"Tuareg Ahaggar",23,"6"
"Tubaduka",40,"1"
"Tubatulabal",39,"1"
"Tuburi",10,"3"
"Tucano",0,"0"
"Tucuna",-3,"3"
"Tukudika",44,"1"
"Tukulor",1,"3"
"Tullishi",12,"3"
"Tumbuka",-12,"3"
"Tunava",37,"1"
"Tunebo",7,"3"
"Tunisians",37,"5"
"Tupinamba",-8,"3"
"Tura",8,"3"
"Turkana",4,"3"
"Turkmen",38,"6"
"Turks",38,"5"
"Turu",-5,"5"
"Tututni",42,"1"
"Twana",48,"1"
"Tzeltal",17,"0"
"Ubamer",6,"5"
"Udalan",16,"5"
"Udihe",47,"1"
"Udmurt",57,"5"
"Ukranians",48,"5"
"Ulawans",-10,"4"
"Ulch",50,"1"
"Ulithians",10,"4"
"Umatilla",46,"1"
"Umotina",-15,"3"
"Ungazikmit",64,"1"
"Upolu",-14,"4"
"Uru",-16,"0"
"Usiai",-2,"4"
"Uttar Pradesh",26,"6"
"Uveans",-13,"4"
"Uzbek",43,"0"
"Vagala",8,"3"
"Vai",7,"3"
"Vanua Levu",-17,"4"
"Vedda",8,"1"
"Venda",-23,"5"
"Veps",61,"5"
"Vere",9,"5"
"Votes",59,"5"
"Vugusu",1,"3"
"Wadadokado",43,"1"
"Wadaduka",41,"1"
"Wadatkuht",41,"1"
"Waica",2,"3"
"Waiwai",1,"3"
"Walapai",36,"2"
"Walbiri",-22,"1"
"Walloons",50,"5"
"Wantoat",-7,"4"
"Wapishana",3,"3"
"Wappo",38,"1"
"Waropen",-2,"4"
"Warrau",9,"2"
"Washo",39,"1"
"Wenatchi",48,"1"
"Western Apache",34,"3"
"Wichita",34,"3"
"Wikmunkan",-14,"1"
"Wind River",43,"1"
"Winnebago",44,"3"
"Wintu",41,"1"
"Wishram",46,"1"
"Witoto",-1,"3"
"Wiyambituka",39,"1"
"Wiyot",40,"1"
"Wodaabe Fulani",12,"2"
"Wogeo",-3,"4"
"Wolof",15,"3"
"Wongaibon",-32,"1"
"Wukchumni",36,"1"
"Wute",6,"3"
"Xam",-30,"1"
"Xhosa",-33,"3"
"Yabarana",5,"3"
"Yagua",-3,"3"
"Yahanduka",42,"1"
"Yahgan",-55,"1"
"Yaka",-7,"3"
"Yako",6,"3"
"Yakut",65,"2"
"Yalunka",10,"3"
"Yami",22,"3"
"Yana",41,"1"
"Yanomamo",2,"3"
"Yanzi",-4,"3"
"Yao",-13,"3"
"Yapese",9,"4"
"Yaqui",28,"6"
"Yaruro",7,"3"
"Yatenga",13,"5"
"Yavapai",35,"2"
"Yeke",-11,"0"
"Yekuana",3,"3"
"Yemeni",15,"6"
"Yergum",9,"0"
"Yir Yoront",-15,"1"
"Yokuts",36,"1"
"Yombe",-5,"3"
"Yucatec Maya",18,"3"
"Yuchi",35,"3"
"Yukaghir",70,"1"
"Yuki",40,"1"
"Yuma",33,"5"
"Yungur",10,"5"
"Yupa",9,"3"
"Yurak",68,"1"
"Yurok",41,"1"
"Zapotec",17,"3"
"Zazzagawa Hausa",11,"6"
"Zekara",34,"6"
"Zenaga",18,"5"
"Zerma",13,"5"
"Zigula",-6,"3"
"Zinza",-3,"3"
"Zuande",7,"3"
"Zulu",-29,"3"
"Zuni",35,"6"
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
