"Name","glottocode","iso_code","latitude","longitude","ObjectVerbOrder"
"Cheke Holo","chek1238","mrn",-8.33333333333,159.666666667,NA
"Chinook (Lower)","chin1286","chh",46.25,-123.5,"VO"
"Canela-Krahô","cane1242","xra",-6,-46,"OV"
"Chinook (Upper)","wasc1239","wac",45.5,-122.5,NA
"Clallam","clal1241","clm",48.0833333333,-123.75,NA
"Colac","cola1237",NA,-38.3333333333,143.5,NA
"Chaldean (Modern)","chal1275","cld",36,43,NA
"Chinantec (Lealao)","leal1235","cle",17.3333333333,-95.9166666667,"VO"
"Cholón","chol1284","clh",-8,-77.5,"OV"
"Chulym","chul1246","clw",54.3333333333,89.6666666667,NA
"Chimila","chim1309","cbg",10,-74,NA
"Comecrudo","come1251","xcm",25.8333333333,-99,NA
"Cham (Eastern)","east2563","cjm",11.3333333333,108.5,"VO"
"Chemehuevi","utes1238","ute",34.3333333333,-115.166666667,"No dominant order"
"Chemakum","chim1310","xch",48.0833333333,-122.916666667,NA
"Camling","caml1239","rab",27,86.6666666667,"OV"
"Comanche","coma1245","com",33.5,-101.5,"OV"
"Chin (Mara)","mara1382","mrh",23,93.1666666667,"OV"
"Comox","como1259","coo",50.1666666667,-125,"VO"
"Chontal Maya","taba1266","chf",18.1666666667,-92.5833333333,"VO"
"Canela","cane1242","ram",-7,-45,NA
"Canamarí","kana1291","knm",-6.5,-68.5,NA
"Cantonese","yuec1235","yue",23,113,"VO"
"Coahuilteco","coah1252","xcw",28,-100,"OV"
"Cocama","coca1259","cod",-5,-74.5,"VO"
"Coeur d'Alene","coeu1236","crd",47.25,-116.5,"VO"
"Cofán","cofa1242","con",0.166666666667,-77.1666666667,NA
"Cogui","cogu1240","kog",11,-73.8333333333,NA
"Chortí","chor1273","caa",14.8333333333,-89.25,NA
"Chol","chol1281","cti",17.75,-92.5,NA
"Comorian","maor1244","swb",-12,44,NA
"Coos (Hanis)","coos1249","csz",43.5,-124.166666667,"No dominant order"
"Coptic","copt1239","cop",26,32,"VO"
"Cora","elna1235","crn",22.1666666667,-104.833333333,"VO"
"Costanoan","sout2986","css",37,-122,"VO"
"Campa Pajonal Asheninca","ashe1273","cjo",-10.6666666667,-74.25,NA
"Chinantec (Palantla)","pala1351","cpa",18.8333333333,-96.75,"VO"
"Chepang","chep1245","cdm",27.6666666667,84.75,"OV"
"Chippewa (Red Lake and Pillager)","chip1241","ciw",48,-95,NA
"Chipaya","chip1262","cap",-18.75,-67.8333333333,"OV"
"Chiquitano","chiq1248","cax",-17.5,-60,"VO"
"Cree (Plains)","plai1258","crk",54,-110,"VO"
"Chiriguano","east2555","gui",-23.6666666667,-64.3333333333,NA
"Chru","chru1239","cje",11.5,108.5,NA
"Crimean Tatar","crim1257","crh",45,34.0833333333,NA
"Carijona","cari1279","cbd",1,-73,NA
"Creek","cree1270","mus",34,-85,NA
"Carolinian","caro1242","cal",15.2,145.75,NA
"Cornish","corn1251","cor",50.3333333333,-5,"VO"
"Crow","crow1244","cro",47,-108,"OV"
"Carapana","cara1272","cbc",0.833333333333,-70.75,NA
"Carrier","carr1249","crx",53.75,-123.5,NA
"Chorote","chor1274","crt",-22.5,-62.5,NA
"Chinantec (Sochiapan)","soch1239","cso",17.75,-96.6666666667,NA
"Chinantec (San Felipe Usila)","usil1237","cuc",17.9166666667,-96.5,NA
"Cashinahua","cash1254","cbs",-10.5,-71.8333333333,NA
"Diola-Kasa","jola1262","csk",12.5,-16.75,NA
"Chinese Sign Language","chin1283","csl",35,115,NA
"Chatino (Sierra Occidental)","west2644","ctp",16.25,-97.3333333333,"VO"
"Cuicatec","cuic1234","cut",17.8333333333,-96.8333333333,NA
"Chinantec (Tepetotutla)","tepe1279","cnt",17.8333333333,-96.5,NA
"Chin (Tiddim)","tedi1235","ctd",23.3333333333,93.6666666667,"OV"
"Catalan","stan1289","cat",41.75,2,"VO"
"Chitimacha","chit1248","ctm",29.6666666667,-91,"OV"
"Chatino (Tataltepec)","tata1258","cta",16.1666666667,-97.5833333333,NA
"Catawba","cata1286","chc",35.5,-80.5,"OV"
"Cua","cuaa1241","cua",15.25,108.5,"VO"
"Cubeo","cube1242","cub",1.33333333333,-70.5,"OV"
"Cuica","timo1237",NA,9,-70.5,"VO"
"Cuiba","cuib1242","cui",6.5,-70,"OV"
"Culina","culi1244","cul",-6,-70.5,NA
"Chumburung","chum1261","ncu",7.75,0.25,NA
"Cupeño","cupe1243","cup",33.1666666667,-116.5,"OV"
"Curripaco","curr1243","kpc",2.5,-68.5,NA
"Cuitlatec","cuit1236",NA,17.5,-101,NA
"Chuukese","chuu1238","chk",7.33333333333,151.75,NA
"Chavacano","chav1241","cbk",7,122.083333333,NA
"Chuave","chua1250","cjv",-6.11666666667,145.116666667,NA
"Columbia-Wenatchi","colu1241","col",47.5,-120,NA
"Chatino (Yaitepec)","west2644","ctp",16.25,-97.25,"VO"
"Cayuga","cayu1261","cay",42.75,-76.75,NA
"Cheyenne","chey1247","chy",47,-95,NA
"Cayuvava","cayu1262","cyb",-13.5,-65.5,"VO"
"Czech","czec1258","ces",50,15,"VO"
"Da'a","daak1235","kzf",-1,119.583333333,NA
"Daba","maza1304","dkx",10.1666666667,13.75,NA
"Dadibi","dadi1250","mps",-6.55,144.583333333,NA
"Daga","daga1275","dgz",-10,149.333333333,"OV"
"Dahalo","daha1245","dal",-2.33333333333,40.5,NA
"Dakota","dako1258","dak",45,-93.5,NA
"Damana","mala1522","mbp",11,-73.5,"No dominant order"
"Dan","dann1241","daf",7.5,-8,"OV"
"Darai","dara1250","dry",24,84,NA
"Datooga","dato1239","tcc",-4.33333333333,35.3333333333,NA
"Dâw","daww1239","kwa",-0.25,-67.0833333333,"OV"
"Day","dayy1236","dai",8.75,17.8333333333,"VO"
"Dabida","tait1250","dav",-4,38.6666666667,NA
"Dutch (Brabantic)","dutc1256","nld",50.75,4.5,NA
"Dan (Blowo)","dann1241","daf",7.33333333333,-8.16666666667,NA
"Dumagat (Casiguran)","casi1235","dgc",16.3333333333,122,NA
"Dhuwal (Dätiwuy)","dhuw1249","duj",-12.1666666667,136.25,NA
"Daju (Dar Fur)","darf1239","daj",12.25,25.25,NA
"Dadjriwalé","godi1239","god",5.25,-5.66666666667,"No dominant order"
"Donno So","donn1238","dds",14.3333333333,-3.58333333333,"OV"
"Defaka","defa1248","afn",4.58333333333,7.5,NA
"Degema","dege1246","deg",4.75,6.75,"VO"
"Dení","deni1241","dny",-6,-67,NA
"Dla (Proper)","dera1245","kbv",-3.58333333333,141,"OV"
"Desano","desa1247","des",0.833333333333,-69.8333333333,"OV"
"Deti","shua1254","shg",-20.5,24.5,NA
"Deuri","deor1238","der",26,90.25,"OV"
"Dagaare","sout2789","dga",10.5,-2.66666666667,"VO"
"Dagbani","dagb1246","dag",9.58333333333,-0.5,"VO"
"Deutsche Gebärdensprache","germ1281","gsg",52,11,NA
"Dogri","indo1311","xnr",33,75,NA
"Dongo","dong1290","doo",3,30,"No dominant order"
"Dagur","daur1238","dta",48,124,"OV"
"Degexit'an","dege1248","ing",62,-160,NA
"Dhaasanac","daas1238","dsh",4.66666666667,36.3333333333,"OV"
"Dharumbal","baya1257","bjy",-22.75,150.5,"OV"
"Dhivehi","dhiv1236","div",4.16666666667,73.5,NA
"Dhalandji","dhal1245","dhl",-22.08,115,NA
"Dhimal","dhim1246","dhi",26.6666666667,87.75,"OV"
"Dhargari","dhar1247","dhr",-23.75,114.916666667,"No dominant order"
"Dhurga","dhur1239","dhu",-35.6666666667,150,NA
"Dharawal","thur1254","tbh",-34.5,150.5,NA
"Didinga","didi1258","did",4.5,33.5,"VO"
"Diegueño (Mesa Grande)","kumi1248","dih",32.6666666667,-116.166666667,"OV"
"Digaro","diga1241","mhu",28.4166666667,96,"OV"
"Dime","dime1235","dim",6.16666666667,36.25,"OV"
"Dinka","nort2815","dip",8.5,28,"No dominant order"
"Diola-Fogny","jola1263","dyo",13,-16.25,"VO"
"Diyari","dier1241","dif",-28,139,"OV"
"Dizi","dizi1235","mdx",6.16666666667,36.5,NA
"Djabugay","dyaa1242","dyy",-16.75,145.583333333,"OV"
"Djingili","djin1251","jig",-17.75,134,"OV"
"Djambarrpuyngu","djam1256","djr",-12.1666666667,135.5,"No dominant order"
"Djinang","djin1253","dji",-12.3333333333,134.833333333,"No dominant order"
"Djapu","dhuw1249","duj",-12.6666666667,136,"OV"
"Djaru","jaru1254","ddj",-18.75,128,"No dominant order"
"Dutch (Limburg)","dutc1256","nld",51,5.5,NA
"Dla (Menggwa)","dera1245","kbv",-3.55,141.033333333,"OV"
"Duma","duma1253","dma",-0.95,13,"VO"
"Dumi","dumi1241","dus",27.25,86.6666666667,"OV"
"Dumaki","doma1260","dmk",36.1666666667,74,"OV"
"Dimasa","dima1251","dis",25.5,93,"OV"
"Ding","ding1239","diz",-4.33333333333,19.5,NA
"Dani (Lower Grand Valley)","lowe1415","dni",-4.33333333333,138.833333333,"OV"
"Dangaléat (Western)","dang1274","daa",12.1666666667,18.3333333333,NA
"Dobel","dobe1238","kvo",-6.25,134.666666667,NA
"Doko","ngom1268","ngc",3,23.0833333333,"VO"
"Dolgan","dolg1241","dlg",71.25,98,NA
"Domari","doma1258","rmt",32,35,"VO"
"Dong","sout2741","doc",27,109,"VO"
"Doutai","dout1240","tds",-3.33333333333,138.166666667,NA
"Doyayo","doya1240","dow",8.66666666667,13.0833333333,"VO"
"Drehu","dehu1237","dhv",-21,167.25,"VO"
"Dargwa","darg1241","dar",42.25,47.4166666667,"OV"
"Dari","dari1249","prs",35,66,NA
"Darma","darm1243","drd",30,79.75,"OV"
"Danish","dani1285","dan",56,10,"VO"
"Toro So","toro1252","dts",14.4166666667,-3.25,NA
"Duala","dual1243","dua",4,9.41666666667,"VO"
"Dullay (Gollango)","gaww1239","gwd",5.5,37.25,NA
"Duka","huns1239","dud",11.1666666667,5.08333333333,"VO"
"Dulong","drun1238","duu",28,98.3333333333,"OV"
"Dumo","vani1248","vam",-2.68333333333,141.3,"OV"
"Duna","duna1248","duc",-5.5,142.5,"OV"
"Dutch","dutc1256","nld",52.5,6,"No dominant order"
"Dutch (Zeeuws)","zeeu1238","zea",51.5,3.75,NA
"Dyirbal","dyir1250","dbl",-17.8333333333,145.583333333,"OV"
"Dyimini","djim1235","dyi",8.41666666667,-4.41666666667,NA
"Dyula","dyul1238","dyu",9.83333333333,-4.66666666667,NA
"Ebira","ebir1243","igb",8.16666666667,7,"VO"
"Edolo","edol1239","etr",-6.16666666667,142.666666667,"OV"
"Efik","efik1245","efi",4.91666666667,8.5,NA
"Ega","egaa1242","ega",5.5,-5.5,"VO"
"Engenni","enge1239","enn",5.16666666667,6.38333333333,"VO"
"Eipo","eipo1242","eip",-4.33333333333,140.083333333,"OV"
"Ejagham","ejag1239","etu",5.41666666667,8.66666666667,NA
"Ekari","ekar1243","ekg",-3.83333333333,135.5,"OV"
"Ekoti","koti1238","eko",-16.5,39.5,"VO"
"Elseng","else1239","mrf",-3,140.5,NA
"Emberá (Northern)","nort2972","emp",6.83333333333,-77.1666666667,"OV"
"Embera Chami","embe1262","cmi",5,-76,NA
"Émérillon","emer1243","eme",3.16666666667,-52.4166666667,"OV"
"Embaloh","emba1238","emb",1.16666666667,112.333333333,NA
"Emmi","amii1238","amy",-13.5,130,"No dominant order"
"Enga","enga1252","enq",-5.5,143.666666667,NA
"Enets","enet1250","enh",67.5,86.5,"OV"
"English","stan1293","eng",52,0,"VO"
"Enggano","engg1245","eno",-5.41666666667,102.25,"VO"
"Enya","enya1247","gey",-0.5,25.25,NA
"Epena Pedee","epen1239","sja",3,-77,"OV"
"Efate (South)","sout2856","erk",-17.75,168.416666667,"VO"
"Erromangan","siee1239","erg",-18.8333333333,169.166666667,"VO"
"Ese Ejja","esee1248","ese",-11,-66,"OV"
"Esmeraldeño","atac1235",NA,0.333333333333,-79.8333333333,"VO"
"Esselen","esse1238","esq",36.25,-121.75,NA
"Estonian","esto1258","est",59,26,"VO"
"Etsako","yekh1238","ets",7.25,6.5,NA
"Eudeve","opat1246","opt",29.1666666667,-109.666666667,"OV"
"Evenki","even1259","evn",56,125,"OV"
"Even","even1260","eve",68,130,"OV"
"Ewe (Anglo)","ewee1241","ewe",6,1,NA
"Ewe","ewee1241","ewe",6.33333333333,0.416666666667,"VO"
"Ewondo","ewon1239","ewo",4,12,"VO"
"Eyak","eyak1241","eya",60.5,-145,NA
"Faroese","faro1244","fao",62,-7,NA
"Fasu","fasu1242","faa",-6.58333333333,143.333333333,"OV"
"Fula (Burkina Faso)","west2454","fuh",14,0,NA
"Frisian (Eastern)","east2288","frs",53.5833333333,7.5,NA
"Fe'fe'","fefe1239","fmp",5.25,10.1666666667,NA
"Fulani (Gombe)","adam1253","fub",10.25,11.25,NA
"Fula (Guinean)","pula1262","fuf",11.5,-12.5,NA
"Fijian","fiji1243","fij",-17.8333333333,178,"VO"
"Finnish","finn1318","fin",62,25,"VO"
"Fiote","koon1244","kng",-5.5,14,NA
"Fijian (Wayan)","west2519","wyy",-17,177.3,NA
"Ful (Liptako)","west2454","fuh",13.5,0.5,NA
"Fula (Mauritanian)","pula1263","fuc",16.5,-13.75,NA
"Fula (Nigerian)","nige1253","fuv",8.16666666667,10.5,NA
"Frisian (North)","nort2626","frr",54.5,9,NA
"Foe","foii1241","foi",-6.5,143.5,"OV"
"Fongbe","fonn1241","fon",6.41666666667,2.16666666667,"VO"
"Fore","fore1270","for",-6.75,145.5,"OV"
"Fox","mesk1242","sac",43,-83,NA
"Momu","fass1245","fqs",-3,141.583333333,"OV"
"Fordata","ford1242","frd",-6.75,131.5,NA
"French","stan1290","fra",48,2,"VO"
"Frisian","east2288","frs",53,5,"No dominant order"
"Frisian (Western)","west2354","fry",53,6,NA
"Finnish Sign Language","finn1310","fse",62,26,NA
"Fula (Cameroonian)","adam1253","fub",9.16666666667,13.5,"VO"
"Futuna (East)","east2447","fud",-14.3333333333,-178.166666667,NA
"Fulniô","fuln1247","fun",-8,-37.5,"OV"
"Fulfulde (Maasina)","maas1239","ffm",15,-5,NA
"Fur","furr1244","fvr",13.5,25,"OV"
"Fula (Senegal)","pula1263","fuc",15,-14,NA
"Futuna-Aniwa","futu1245","fut",-19.5333333333,170.216666667,"VO"
"Fuzhou","mind1253","cdo",26,119.5,NA
"Fyem","fyam1238","pym",9.58333333333,9.33333333333,"VO"
"Gã","gaaa1244","gaa",5.66666666667,-0.166666666667,"VO"
"Gaagudju","gaga1251","gbu",-12.5833333333,132.833333333,NA
"Gade","gade1242","ged",8.66666666667,7.41666666667,NA
"Gaelic (Scots)","scot1245","gla",57,-4,"VO"
"Gagauz","gaga1249","gag",46.3333333333,28.6666666667,NA
"Gahuku","alek1238","gah",-6,145.416666667,"OV"
"Galo","damu1236","adi",28.1666666667,94.6666666667,"OV"
"Gamo","gamo1244","gmo",6.66666666667,37.25,"OV"
"Great Andamanese","apuc1241","apq",12,92.6666666667,"OV"
"Gapapaiwa","gapa1238","pwg",-9.75,149.833333333,"OV"
"Garo","garo1247","grt",25.6666666667,90.5,"OV"
"German (Upper Austrian)","bava1246","bar",47,14,NA
"Gavião","gavi1246","gvo",-10.6666666667,-62,"OV"
"Gayo","gayo1244","gay",4.5,97.5,NA
"German (Bavarian)","bava1246","bar",49,11.5,NA
"Gbeya Bossangoa","gbay1287","gbp",6.66666666667,17.5,"VO"
"Guinea Bissau Crioulo","uppe1455","pov",12,-15,NA
"German (Bern)","swis1247","gsw",47,7.41666666667,NA
"Gbaya Kara","nort2775","gya",6,15,"VO"
"German (Berlin)","stan1295","deu",52.5,13.3333333333,NA
"Greek (Cypriot)","mode1248","ell",34.75,33,NA
"Gutob","bodo1267","gbj",19,83.6666666667,NA
"Guduf","gudu1252","gdf",11.2333333333,13.8,NA
"Godié","godi1239","god",5.41666666667,-5.83333333333,NA
"Gadaba (Kondekor)","pott1240","gdb",18.75,83.5,NA
"Guadeloupe Creole","guad1242","gcf",16.25,-61.5,NA
"Gidar","gida1247","gid",10,14,NA
"Gadsup","gads1258","gaj",-6.25,146,"OV"
"Gela","gela1263","nlg",-9.08333333333,160.25,"VO"
"Georgian","nucl1302","kat",42,44,"OV"
"German","stan1295","deu",52,10,"No dominant order"
"Guianese French Creole","guia1246","gcr",5,-53,NA
"Gugadj","guga1239","ggd",-18.5,140.5,NA
"Gureng Gureng","gure1255","gnr",-25.25,151,"No dominant order"
"German (Hannover)","stan1295","deu",52.4166666667,9.66666666667,NA
"Guahibo","guah1255","guh",5,-69,NA
"Ghotuo","ghot1243","aaa",7.08333333333,5.75,NA
"Gahri","gahr1239","bfu",32.5,77,"OV"
"Gidabal","band1339","bdy",-28.4166666667,152.416666667,"No dominant order"
"Gilaki","gila1241","glk",37.3333333333,50,NA
"Gimira","benc1235","bcq",7,35.75,"OV"
"Gula Iro","gula1265","glj",10.25,19.4166666667,"VO"
"Gitksan","gitx1241","git",55.3333333333,-127.75,"No dominant order"
"Giziga","maro1246","gis",10.3333333333,14.1666666667,"VO"
"Gurindji","guri1247","gue",-17.6666666667,130.666666667,NA
"Guajajara","guaj1255","gub",-5,-46,"VO"
"Gününa Küne","puel1244","pue",-41,-67,NA
"Gelao","gela1261","gio",22.9166666667,105.5,"VO"
"Galician","gali1258","glg",43,-8,NA
"Galela","gale1259","gbi",2.41666666667,128.333333333,NA
"Golin","goli1247","gvf",-6.33333333333,144.75,"OV"
"Gaalpu","dhan1270","dhg",-12.6666666667,136.75,NA
"German (Mansfeldisch)","stan1295","deu",51.5833333333,11.5,NA
"Guambiano","guam1248","gum",2.5,-76.6666666667,NA
"Gamilaraay","gami1243","kld",-29.8333333333,149.5,NA
"Gumatj","guma1253","gnn",-12.5,135.5,NA
"Gumawana","guma1254","gvs",-9.25,150.833333333,"OV"
"Gumuz","gumu1244","guk",12.5,35.8333333333,"VO"
"Guana","guan1268","gva",-22,-58,NA
"Gunbalang","kunb1251","wlg",-12,134,"VO"
"Ga'anda","gaan1243","gqa",10.3333333333,12.5833333333,"VO"
"Gunin","kwin1241","gww",-14.25,126.666666667,"No dominant order"
"Guanano","guan1269","gvc",0.833333333333,-69.5,NA
"Gunya","guny1241","gyy",-26.5,146.5,NA
"Goajiro","wayu1243","guc",12,-72,"VO"
"Godoberi","ghod1238","gdo",42.6666666667,46.0833333333,"OV"
"Goemai","goem1240","ank",8.66666666667,9.75,"VO"
"Gogodala","gogo1265","ggw",-8.08333333333,142.833333333,"OV"
"Gojri","guja1253","gju",32.75,76.25,NA
"Gokana","goka1239","gkn",4.58333333333,7.33333333333,"VO"
"Gola","gola1255","gol",7.25,-10.8333333333,NA
"Gondi","sout2711","ggo",19,81,"OV"
"Gooniyandi","goon1238","gni",-18.3333333333,126.333333333,"OV"
"Gorowa","goro1270","gow",-4.5,36.5,NA
"German (Ostschweiz)","swis1247","gsw",47.4166666667,9.25,NA
"German (Appenzell)","swis1247","gsw",47.3333333333,9.33333333333,NA
"Grebo","barc1235","grj",5,-8,"VO"
"Greenlandic (East)","kala1399","kal",65,-40,NA
"Garífuna","gari1256","cab",15.6666666667,-88,"VO"
"Gurr-goni","gura1252","gge",-12.25,134.416666667,"No dominant order"
"Guarijío","huar1255","var",27.75,-108.666666667,"No dominant order"
"Greek (Modern)","mode1248","ell",39,22,"VO"
"Gurma","gour1243","gux",12.25,1,NA
"Gurenne","fare1241","gur",10.8333333333,-0.916666666667,NA
"Guro","guro1248","goa",7,-6,NA
"German (Ripuarian)","kols1241","ksh",51,7,NA
"Garrwa","gara1261","gbc",-17.0833333333,137.166666667,"VO"
"Garus","garu1246","gyb",-4.95,145.666666667,NA
"Gorontalo","goro1259","gor",0.5,122,NA
"Greenlandic (West)","kala1399","kal",64,-51,"OV"
"Greek Sign Language","gree1271","gss",38.5,22,NA
"Greenlandic (South)","kala1399","kal",60,-44,NA
"German (Thurgau)","swis1247","gsw",47.5833333333,9.16666666667,NA
"German (Thuringian)","stan1295","deu",51,11,NA
"German (Timisoara)","stan1295","deu",45.75,21.25,NA
"Guató","guat1253","gta",-17,-58,"VO"
"Guaraní","para1311","gug",-26,-56,"VO"
"Gude","gude1246","gde",10.4166666667,13.4166666667,"VO"
"Guere","guer1240","gxx",6.66666666667,-7.75,NA
"Gupapuyngu","gupa1247","guf",-12,136,NA
"Gugada","koka1244","ktd",-30,134,"OV"
"Guhu-Samane","guhu1244","ghs",-8,147.333333333,"OV"
"Gujarati","guja1252","guj",23,72,"OV"
"Gula (in Central African Republic)","gula1269","glu",9.5,22.5,"VO"
"Gumbaynggir","kumb1268","kgs",-30.1666666667,152.5,"No dominant order"
"Gunu","nugu1242","yas",4.58333333333,11.25,NA
"Guaque","cari1279",NA,1,-72.0833333333,NA
"Gurung","guru1261","gvr",28.3333333333,84.3333333333,"OV"
"Gusii","gusi1247","guz",-0.75,34.8333333333,NA
"Gurma (Togo)","gour1243","gux",10.75,0.666666666667,NA
"Guugu Yimidhirr","gugu1255","kky",-15,144.833333333,"OV"
"Gungbe","gunn1250","guw",6.5,2.5,"VO"
"German (Viennese)","bava1246","bar",48.1666666667,16.3333333333,NA
"Gwari","gbag1258","gbr",9.5,7,"No dominant order"
"German (Westphalian)","west2356","wep",52,7.5,NA
"Gworok","tyap1238","kcg",9.91666666667,8.16666666667,"VO"
"Guayabero","guay1257","guo",2.83333333333,-72,NA
"Gyarong (Cogtse)","jiar1239","jya",31.5,102,"OV"
"German (Zurich)","swis1247","gsw",47.4166666667,8.5,NA
"Hadza","hadz1240","hts",-3.75,35.1666666667,NA
"Haida","haid1248","hdn",53,-132,"OV"
"Hakka","hakk1236","hak",25,116,"VO"
"Halia","hali1244","hla",-5.25,154.666666667,"VO"
"Hamtai","hamt1247","hmt",-7.5,146.25,"OV"
"Hani","hani1248","hni",23,103,"OV"
"Haruai","haru1245","tmd",-5.08333333333,144.166666667,"OV"
"Hatam","hata1243","had",-1,134,"VO"
"Hausa","haus1257","hau",12,7,"VO"
"Havasupai","hava1248","yuf",35.75,-112.5,NA
"Hawaiian","hawa1245","haw",19.5833333333,-155.5,"VO"
"Hayu","wayu1241","vay",27.25,86,"OV"
"Hebrew (Modern Ashkenazic)","hebr1245","heb",31.75,35.1666666667,NA
"Haitian Creole","hait1244","hat",19,-72.5,NA
"Hdi","hdii1240","xed",11.8666666667,13.7166666667,"VO"
"Hebrew (Modern)","hebr1245","heb",31.5,34.8333333333,"VO"
"Hehe","hehe1240","heh",-8,36,"VO"
"Heiltsuk","heil1246","hei",52,-127.5,"VO"
"Hemba","hemb1242","hem",-6.25,27.1666666667,"VO"
"Herero","here1253","her",-20.5833333333,19,NA
"Hanga Hundi","hang1263","wos",-3.83333333333,142.916666667,"OV"
"Hianacoto","cari1279","cbd",0.833333333333,-71,NA
"Hidatsa","hida1246","hid",47,-102.5,"OV"
"Hiligaynon","hili1240","hil",10.25,123,"VO"
"Hindi","hind1269","hin",25,77,"OV"
"Hixkaryana","hixk1239","hix",-1,-59,"OV"
"Hong Kong Sign Language","hong1241",NA,22.5,114,NA
"Halbi","halb1244","hlb",21,81,NA
"Halkomelem (Island)","halk1245","hur",49.2,-123,NA
"Halang","hala1252","hal",14.5,107.5,NA
"Hualapai","hava1248","yuf",35.5,-113.75,"OV"
"Halkomelem (Upriver)","halk1245","hur",49.25,-121.916666667,"VO"
"Hmar","hmar1241","hmr",24.1666666667,93,"OV"
"Huambisa","huam1247","hub",-4,-78,NA
"Hmong Daw","hmon1333","mww",26,105,NA
"Huitoto (Minica)","mini1256","hto",-0.333333333333,-74,"OV"
"Hmong Njua","huam1250","hnj",28,105,"VO"
"Hamer","hame1242","amf",5,36.5,NA
"Huitoto (Muinane)","nupo1240","hux",-2.41666666667,-71,NA
"Mina","mina1276","hna",10.3333333333,13.8333333333,"VO"
"Hunde","hund1239","hke",-1.16666666667,28.8333333333,"VO"
"Hinuq","hinu1240","gin",42.1666666667,46,NA
"Hanunóo","hanu1241","hnn",12.3333333333,121.25,NA
"Haida (Northern)","nort2938","hdn",54,-132.5,NA
"Ho","hooo1248","hoc",22,86,"OV"
"Hoava","hoav1238","hoa",-8.08333333333,157.5,"VO"
"Hokkien","minn1241","nan",25,118,NA
"Holoholo","holo1240","hoo",-5.16666666667,29.9166666667,"VO"
"Hopi","hopi1249","hop",36,-110,"OV"
"Hup","hupd1244","jup",0.166666666667,-69.25,"OV"
"Hre","hree1244","hre",14.6666666667,108.666666667,NA
"Harari","hara1271","har",9.25,42.1666666667,NA
"Harsusi","hars1241","hss",20,56.5,NA
"Haisla","hais1244","has",54,-128.75,NA
"Huastec","huas1256","hsf",22.0833333333,-99.3333333333,"VO"
"Huitoto","mini1256","hto",-1,-74,NA
"Hua","yaga1260","ygr",-6.33333333333,145.333333333,"OV"
"=|Hoan","huaa1248","huc",-25.5,25,"VO"
"Huichol","huic1243","hch",22,-104,"OV"
"Huitoto (Murui)","muru1274","huu",-1,-73.5,"OV"
"Hungarian","hung1274","hun",47,20,"VO"
"Hupa","hupa1239","hup",41.0833333333,-123.666666667,"No dominant order"
"Huave (San Mateo del Mar)","sanm1287","huv",16.2166666667,-95,"VO"
"Hawaiian Creole","hawa1247","hwc",21.5,-158,NA
"Hawrami","gura1251","hac",35.75,45.5,NA
"Haya","haya1250","hay",-2,31.5,"VO"
"Hyow","asho1236","csh",22.0833333333,92.4166666667,NA
"Hunzib","hunz1247","huz",42.1666666667,46.25,"OV"
"Iaai","iaai1238","iai",-20.4166666667,166.583333333,"VO"
"Iatmul","iatm1242","ian",-4.25,143.25,"OV"
"Iau","iauu1242","tmu",-3.16666666667,137.5,"OV"
"Iban","iban1264","iba",2,112,"VO"
"Ibibio","ibib1240","ibb",5.25,7.83333333333,NA
"Ibanag","iban1267","ibg",17.5,121.666666667,NA
"Icelandic","icel1247","isl",65,-17,"VO"
"Icelandic Sign Language","icel1236","icl",65,-18,NA
"Iduna","idun1242","viv",-9.33333333333,150.25,"OV"
"Idoma","idom1241","idu",6.91666666667,7.5,"No dominant order"
"Idu","idum1241","clk",29.3333333333,95.8333333333,"OV"
"Italian (Fiorentino)","ital1282","ita",43.75,11.25,NA
"Ifumu","teke1274","ifm",-3.66666666667,15.3333333333,"VO"
"Ifugao (Batad)","bata1298","ifb",16.8333333333,121.083333333,"VO"
"Inga","inga1252","inb",1,-77,NA
"Igbo","nucl1417","ibo",6,7.33333333333,"VO"
"Igede","iged1239","ige",7,8.16666666667,"VO"
"Ignaciano","igna1246","ign",-15.1666666667,-65.4166666667,"VO"
"Ingessana","gaam1241","tbi",11.5,34,"VO"
"Iha","ihaa1241","ihp",-2.91666666667,132.25,"OV"
"Indonesian (Papuan)","papu1250","pmy",-2.5,140.666666667,NA
"Ijo (Kolokuma)","izon1238","ijc",4.91666666667,5.66666666667,"OV"
"Ik","ikkk1242","ikx",3.75,34.1666666667,"VO"
"Ika","arhu1242","arh",10.6666666667,-73.75,"OV"
"Ila","ilaa1246","ilb",-15.5833333333,26.5,"VO"
"Illinois","miam1252","mia",40,-90,NA
"Ilocano","ilok1237","ilo",16,121,"VO"
"Imonda","imon1245","imn",-3.33333333333,141.166666667,"OV"
"Inanwatan","suab1238","szp",-2.08333333333,132.083333333,"No dominant order"
"Indonesian","indo1316","ind",0,106,"VO"
"Ingush","ingu1240","inh",43.1666666667,45.0833333333,NA
"Indonesian (Jakarta)","indo1316","ind",-6.16666666667,106.75,NA
"Innamincka","yand1253","ynd",-27.75,140.75,"OV"
"Inuktitut (Rankin Inlet)","west2618","ikt",63,-92,NA
"Inuktitut (Salluit)","east2534","ike",62,-76,NA
"Iñupiaq","nort2943","esi",67,-161,NA
"Indo-Pakistani Sign Language (Indian dialects)","indi1237","ins",24,80,NA
"Indo-Pakistani Sign Language (Karachi dialect)","paki1242","pks",28,68,NA
