"Name","glottocode","iso_code","latitude","longitude","ObjectVerbOrder"
"Ambae (Lolovoli Northeast)","east2443","omb",-15.4166666667,167.883333333,"VO"
"Ama","amap1240","amm",-4.21666666667,141.616666667,NA
"Amanab","aman1265","amn",-3.58333333333,141.25,"OV"
"Amo","amoo1242","amo",10.3333333333,8.66666666667,"VO"
"Arrernte (Mparntwe)","east2379","aer",-24,136,"OV"
"Ambai","amba1265","amk",-1.83333333333,136.5,"VO"
"Arabic (Moroccan)","moro1292","ary",34,-6,"VO"
"Arabic (Modern Standard)","stan1318","arb",25,42,"VO"
"Amdo (Themchen)","amdo1237","adx",38,98,"OV"
"Yanesha'","yane1238","ame",-10.5,-75.4166666667,NA
"Anamuxra","anam1248","imi",-4.66666666667,145,"OV"
"Amuzgo","guer1243","amu",16.8333333333,-98,NA
"Araona","arao1248","aro",-12.3333333333,-67.75,"OV"
"Angas","ngas1240","anc",9.5,9.5,"VO"
"Anêm","anem1249","anz",-5.58333333333,149.083333333,"VO"
"Anggor","ango1254","agg",-3.75,141.166666667,"OV"
"//Ani","anii1246","hnh",-18.9166666667,21.9166666667,"No dominant order"
"Anejom","anei1239","aty",-20.2,169.8,"VO"
"Arabic (North Levantine Spoken)","nort3139","apc",33.75,36,NA
"Anindilyakwa","anin1240","aoi",-14,136.5,"VO"
"Anong","nung1282","nun",27.3333333333,98.75,"OV"
"Angaatiha","anga1290","agm",-7.21666666667,146.25,NA
"Anufo","anuf1239","cko",10.0833333333,0.25,"VO"
"Andi","andi1255","ani",42.75,46.25,NA
"Anywa","anua1242","anu",8,33.5,"No dominant order"
"Ao","aona1235","njo",26.5833333333,94.6666666667,"OV"
"Mufian","mufi1238","aoj",-3.5,143,"VO"
"Arabic (Palestinian)","sout3123","ajp",32,35.25,NA
"Apache (Chiricahua)","mesc1238","apm",33.25,-108,NA
"Ampeeli","safe1240","apz",-6.75,146.083333333,NA
"Apinayé","apin1244","apn",-5.5,-48,"OV"
"Apache (Jicarilla)","jica1244","apj",36.5833333333,-104,NA
"A-Pucikwar","apuc1241","apq",12.1666666667,92.8333333333,NA
"Apalaí","apal1257","apy",0,-54,"OV"
"Apatani","apat1240","apt",27.5,93.75,"OV"
"Apurinã","apur1254","apu",-9,-67,"No dominant order"
"Apache (Western)","west2615","apw",33.75,-110,"OV"
"Arawak","araw1276","arw",5.5,-55.1666666667,"VO"
"Arabela","arab1268","arl",-2,-75.1666666667,NA
"Archi","arch1244","aqc",42,46.8333333333,"OV"
"Arandai","aran1237","jbj",-2.08333333333,133,NA
"Arabic (Gulf)","gulf1241","afb",26,49,"VO"
"Arabic (Hijazi)","hija1235","acw",26,38,NA
"Aribwatsa","arib1241","laz",-6.71666666667,147,"VO"
"Arabic (Kuwaiti)","gulf1241","afb",29.5,47.5,"VO"
"Araki","arak1252","akr",-15.6666666667,166.916666667,NA
"Arabic (Lebanese)","nort3139","apc",34,36,NA
"Armenian (Eastern)","nucl1235","hye",40,45,"No dominant order"
"Arabic (Borno Nigerian)","chad1249","shu",8.58333333333,12.4166666667,NA
"Arosi","aros1241","aia",-10.25,161.333333333,"VO"
"Arapesh (Mountain)","buki1249","ape",-3.46666666667,143.166666667,"VO"
"Arabic (Iraqi)","meso1252","acm",33,44,"VO"
"Arrernte","east2379","aer",-24,134,NA
"Arabic (San'ani)","sana1295","ayn",16,44,NA
"Arabic (Negev)","sout3123","ajp",30.5,34.75,NA
"Armenian (Western)","nucl1235","hye",38.5,43.5,"OV"
"'Are'are","area1240","alu",-9.25,161.166666667,NA
"Armenian (Iranian)","nucl1235","hye",32.6666666667,51.6666666667,NA
"Adyghe (Shapsugh)","adyg1241","ady",45,38.75,NA
"American Sign Language","amer1248","ase",39,-78,NA
"Asmat","tamn1235","tml",-5.5,138.5,"OV"
"Altai (Southern)","sout2694","alt",51,87,NA
"Assamese","assa1263","asm",26,93,"OV"
"Asturian","astu1245","ast",43.25,-6,NA
"Asuriní","toca1235","asu",-3.5,-49.5,"OV"
"Arabic (Syrian)","nort3139","apc",34,38,"VO"
"Atayal","atay1247","tay",24.5,121.333333333,"VO"
"Aralle-Tabulahan","aral1243","atq",-2.75,119.25,NA
"Atchin","urip1239","upv",-16,167.333333333,NA
"Athpare","athp1241","aph",27,87.3333333333,"OV"
"Atikamekw","atik1240","atj",48,-74,NA
"Atakapa","atak1252","aqp",30,-93.5,"OV"
"Atacameño","kunz1244","kuz",-23,-69,"OV"
"Alutiiq","paci1278","ems",57,-157,NA
