glottocode,name,macroarea,latitude,longitude,Language_family,precipitation,tones
pana1305,Panamint,"North America",36.0007,-117.901,Uto-Aztecan,20.0318333332857,0
serr1255,Serrano,"North America",33.9479,-116.772,Uto-Aztecan,38.72691667,0
kwak1269,Kwakiutl,"North America",50.9269,-127.308,Wakashan,195.2758333,0
nuuc1236,Nuu-chah-nulth,"North America",,,Wakashan,214.8940833,0
wara1303,Warao,"South America",7.50851,-59.3528,Warao,107.6936667,0
wash1253,Washo,"North America",38.8184,-119.64,Washo,55.627916665,0
nina1238,Ninam,"South America",4.03894,-62.7801,Yanomam,261.23441665,0
sanu1240,"Sanumá","South America",1.31875,-67.6498,Yanomam,245.3733333,0
yano1261,"Yanomamö","South America",1.67967,-64.8781,Yanomam,244.7775,0
yano1262,"Yanomámi","South America",2.48999,-62.8522,Yanomam,244.7775,0
kett1243,Ket,Eurasia,63.7551,87.5466,Yeniseian,44.09416667,0
yuch1247,Yuchi,"North America",35.9615,-95.0393,Yuchi,106.3493333,0
nort2745,"Northern Yukaghir",Eurasia,65.3874,151.318,Yukaghir,17.049,0
yuki1243,Yuki,"North America",39.8389,-123.296,Yuki-Wappo,95.641166666,0
yama1264,"Yámana","South America",-55.2748,-68.2648,"Yámana",64.94283333,0
cham1315,Chamacoco,"South America",-20.5899,-58.2005,Zamucoan,70.63466667,0
zuni1245,Zuni,"North America",35.0056,-108.782,Zuni,17.92966667,0
