InventoryID	Source	LanguageCode	LanguageName	Trump	LanguageFamilyRoot	LanguageFamilyGenus	Country	Area	Population	Latitude	Longitude	Phonemes	Consonants	Tones	Vowels	TreeName
'Haya_[haya1250][hay]'	884	PH	hay	Haya	1	ncon	Bantoid	Tanzania	Africa	1,300,000	-2:0	31:40:00	29	19	0	10	'Haya_[haya1250][hay]'
'Wyandot_[wyan1247][wya]'	885	PH	wya	Huron	1	iroq	Northern Iroquoian	United States	America	24	44:20:00	#VALUE!	17	11	0	6	'Wyandot_[wyan1247][wya]'
'Huichol_[huic1243][hch]'	886	PH	hch	Huichol	1	utaz	Corachol	Mexico	America	20,000	22:00	-104:0	25	15	0	10	'Huichol_[huic1243][hch]'
'Huaylas_Ancash_Quechua_[huay1240][qwh]'	887	PH	qwh	Huaylas	1	quch	Quechuan	Peru	America	336,000	-9:0	-78:0	30	20	0	10	'Huaylas_Ancash_Quechua_[huay1240][qwh]'
'San_Mateo_del_Mar_Huave_[sanm1287][huv]'	888	PH	huv	Huave, San Mateo del Mar	1	huav	Huavean	Mexico	America	12,000	16:10	#VALUE!	24	18	0	6	'San_Mateo_del_Mar_Huave_[sanm1287][huv]'
'Jauja_Wanca_Quechua_[jauj1238][qxw]'	889	PH	qxw	Huanca	2	quch	Quechuan	Peru	America	23,000	#VALUE!	#VALUE!	27	22	0	5	'Jauja_Wanca_Quechua_[jauj1238][qxw]'
'Luyana_[luya1241][lyn]'	890	PH	lyn	Louyi	1	ncon	Bantoid	Zambia	Africa	222,000	#VALUE!	23:35	22	17	0	5	'Luyana_[luya1241][lyn]'
'Ibani_[iban1261][iby]'	891	PH	iby	Ibani	1	ncon	Ijoid	Nigeria	Africa	60,000	04:25	07:15	38	25	3	10	'Ibani_[iban1261][iby]'
'Imonda_[imon1245][imn]'	892	PH	imn	Imonda	1	trng	Border	Papua New Guinea	Pacific	250	#VALUE!	141:10:00	23	13	0	10	'Imonda_[imon1245][imn]'
'Ingush_[ingu1240][inh]'	893	PH	inh	Ingush	1	ncau	Nakh	Russian Federation	Europe	413,000	43:10:00	44:50:00	48	35	0	13	'Ingush_[ingu1240][inh]'
'Krisa_[kris1246][ksi]'	894	PH	ksi	Isaka	1	skoo	Krisa	Papua New Guinea	Pacific	420	#VALUE!	141:20:00	18	9	4	5	'Krisa_[kris1246][ksi]'
'Yalunka_[yalu1240][yal]'	895	PH	yal	Jalonke	1	ncon	Western Mande	Guinea	Africa	55,500	10:00	-11:0	33	19	0	14	'Yalunka_[yalu1240][yal]'
'Jarawa_{Nigeria}_[jara1263][jar]'	896	PH	jar	Jarawa	1	ncon	Bantoid	Nigeria	Africa	150,000	09:45	10:00	39	28	0	11	'Jarawa_{Nigeria}_[jara1263][jar]'
'Jamamad√≠_[jama1261][jaa]'	897	PH	jaa	Jarawara	2	arau	Arauan	Brazil	America	480	#VALUE!	#VALUE!	15	11	0	4	'Jamamad√≠_[jama1261][jaa]'
'Jemez_[jeme1245][tow]'	898	PH	tow	Jemez	1	kita	Kiowa-Tanoan	United States	America	1,300	35:40:00	#VALUE!	61	39	0	22	'Jemez_[jeme1245][tow]'
'Lijili_[liji1238][mgi]'	899	PH	mgi	Jili	1	ncon	Platoid	Nigeria	Africa	50,000	08:30	08:20	48	29	3	16	'Lijili_[liji1238][mgi]'
'Kabyle_[kaby1243][kab]'	900	PH	kab	Kabyle	1	afas	Berber	Algeria	Africa	2,540,000	36:30:00	04:30	30	27	0	3	'Kabyle_[kaby1243][kab]'
'Gidar_[gida1247][gid]'	901	PH	gid	Kada	1	afas	Biu-Mandara	Cameroon	Africa	54,000	10:00	14:00	38	28	2	8	'Gidar_[gida1247][gid]'
'Kayab√≠_[kaya1329][kyz]'	902	PH	kyz	Kaiabi	1	tupi	Tupi-GuaranÃ_	Brazil	America	1,000	#VALUE!	#VALUE!	24	14	0	10	'Kayab√≠_[kaya1329][kyz]'
'Kamasau_[kama1367][kms]'	903	PH	kms	Kamasau	1	torr	Marienberg	Papua New Guinea	Pacific	960	#VALUE!	143:50:00	29	23	0	6	'Kamasau_[kama1367][kms]'
'Kano√™_[kano1245][kxo]'	904	PH	kxo	Kanoe	2	tupi	UNCLASSIFIED	Brazil	America	No_known_speakers	-11:0	-62:0	26	12	0	14	'Kano√™_[kano1245][kxo]'
'Kenswei_Nsei_[kens1251][ndb]'	905	PH	ndb	Kensei Nsei	1	ncon	Bantoid	Cameroon	Africa	25,000	06:00	10:25	65	55	0	10	'Kenswei_Nsei_[kens1251][ndb]'
'Eastern_Karaboro_[east2398][xrb]'	906	PH	xrb	Kar	1	ncon	Gur	Burkina Faso	Africa	35,000	10:30	#VALUE!	26	16	3	7	'Eastern_Karaboro_[east2398][xrb]'
'Karip√∫na_Creole_French_[kari1301][kmv]'	907	PH	kmv	Karipuna Creole	1	sapc	Creoles and Pidgins	Brazil	America	1,710	03:50	#VALUE!	32	22	0	10	'Karip√∫na_Creole_French_[kari1301][kmv]'
'Kenyang_[keny1279][ken]'	908	PH	ken	Kenyang	1	ncon	Bantoid	Cameroon	Africa	65,000	05:35	09:30	41	21	0	20	'Kenyang_[keny1279][ken]'
'Kharia_[khar1287][khr]'	909	PH	khr	Kharia	1	ausa	Munda	India	Asia	292,000	22:30	84:20:00	47	37	0	10	'Kharia_[khar1287][khr]'
'Chong_[chon1284][cog]'	910	PH	cog	Chong	1	ausa	Pearic	Cambodia	Asia	5,000	12:15	102:50:00	40	21	0	19	'Chong_[chon1284][cog]'
'Kinyarwanda_[kiny1244][kin]'	911	PH	kin	Kinyarwanda	1	ncon	Bantoid	Rwanda	Africa	6,490,000	-2:0	30:00:00	49	39	0	10	'Kinyarwanda_[kiny1244][kin]'
'Kirike_[kiri1254][okr]'	912	PH	okr	Kirike	1	ncon	Ijoid	Nigeria	Africa	248,000	04:35	07:00	36	24	2	10	'Kirike_[kiri1254][okr]'
'Kokota_[koko1269][kkk]'	913	PH	kkk	Kokota	1	anes	Oceanic	Solomon Islands	Pacific	530	-8:0	159:10:00	27	22	0	5	'Kokota_[koko1269][kkk]'
'Bakole_[bako1250][kme]'	914	PH	kme	Kole	1	ncon	Bantoid	Cameroon	Africa	300	04:25	08:58	34	27	0	7	'Bakole_[bako1250][kme]'
'Konni_[konn1242][kma]'	915	PH	kma	Konni	1	ncon	Gur	Ghana	Africa	3,800	10:15	#VALUE!	49	31	0	18	'Konni_[konn1242][kma]'
'Kuy_[kuyy1240][kdt]'	916	PH	kdt	Kuay	1	ausa	Katuic	Thailand	Asia	400,000	14:50	103:55:00	47	22	0	25	'Kuy_[kuyy1240][kdt]'
'Kulung_{Nepal}_[kulu1253][kle]'	917	PH	kle	Kulung	1	sitb	Bodic	Nepal	Asia	18,700	09:10	11:05	43	22	0	21	'Kulung_{Nepal}_[kulu1253][kle]'
'Kuot_[kuot1243][kto]'	918	PH	kto	Kuot	1	epap	Kuot	Papua New Guinea	Pacific	2,400	#VALUE!	151:30:00	19	13	0	6	'Kuot_[kuot1243][kto]'
'Kusunda_[kusu1250][kgg]'	919	PH	kgg	Kusunda	1	sitb	Kusunda	Nepal	Asia	7	28:00:00	84:40:00	38	32	0	6	'Kusunda_[kusu1250][kgg]'
