InventoryID	Source	LanguageCode	LanguageName	Trump	LanguageFamilyRoot	LanguageFamilyGenus	Country	Area	Population	Latitude	Longitude	Phonemes	Consonants	Tones	Vowels	TreeName
'Dobu_[dobu1241][dob]'	981	PH	dob	Dobu	1	anes	Oceanic	Papua New Guinea	Pacific	10,000	#VALUE!	150:45:00	24	19	0	5	'Dobu_[dobu1241][dob]'
'Samo_[samo1303][smq]'	982	PH	smq	Samo	1	trng	East Strickland	Papua New Guinea	Pacific	900	#VALUE!	142:10:00	18	12	0	6	'Samo_[samo1303][smq]'
'Uri_[urii1240][uvh]'	983	PH	uvh	Urii	1	trng	Finisterre-Huon	Papua New Guinea	Pacific	2,500	#VALUE!	146:35:00	24	16	0	8	'Uri_[urii1240][uvh]'
'Boikin_[boik1241][bzf]'	984	PH	bzf	Boiken	1	sepr	Middle Sepik	Papua New Guinea	Pacific	31,300	#VALUE!	143:30:00	25	17	0	8	'Boikin_[boik1241][bzf]'
'Phai_[phai1238][prt]'	985	PH	prt	Pray	1	ausa	Khmer	Thailand	Asia	20,000	19:15	101:10:00	35	17	0	18	'Phai_[phai1238][prt]'
'Mal_[mall1246][mlf]'	986	PH	mlf	Mal	1	ausa	Khmer	Laos	Asia	23,200	19:20	101:15:00	41	17	2	22	'Mal_[mall1246][mlf]'
'Rama_[rama1270][rma]'	987	PH	rma	Rama	1	chib	Rama	Nicaragua	America	24	11:42	#VALUE!	28	19	0	9	'Rama_[rama1270][rma]'
'Matbat_[matb1237][xmt]'	988	PH	xmt	Matbat	1	anes	Central Malayo-Polynesian	Indonesia	Asia	1,250	-2:0	130:00:00	20	15	0	5	'Matbat_[matb1237][xmt]'
'Rundi_[rund1242][run]'	989	PH	run	Rundi	1	ncon	Bantoid	Burundi	Africa	4,600,000	#VALUE!	30:00:00	29	22	2	5	'Rundi_[rund1242][run]'
'Nyankole_[nyan1307][nyn]'	990	PH	nyn	Runyankore	1	ncon	Bantoid	Uganda	Africa	2,330,000	00:30	30:30:00	28	20	0	8	'Nyankole_[nyan1307][nyn]'
'Marwari_{India}_[marw1260][rwr]'	991	PH	rwr	Marwari	1	ieur	Iranian	India	Asia	5,600,000	NULL	NULL	46	36	0	10	'Marwari_{India}_[marw1260][rwr]'
'Samba_Leko_[samb1305][ndi]'	992	PH	ndi	Samba Leko	1	ncon	Adamawa	Nigeria	Africa	62,000	08:30	12:30	34	22	3	9	'Samba_Leko_[samb1305][ndi]'
'Southern_Samo_[sout2844][sbd]'	993	PH	sbd	Samo de Toma	1	ncon	Eastern Mande	Burkina Faso	Africa	85,000	13:00	-3:0	26	18	0	8	'Southern_Samo_[sout2844][sbd]'
'Samre_[samr1245][sxm]'	994	PH	sxm	Samre	1	ausa	Khmer	Cambodia	Asia	50	13:30	104:00:00	41	20	0	21	'Samre_[samr1245][sxm]'
'Saban√™_[saba1268][sae]'	995	PH	sae	Sabane	1	namb	Nambikuaran	Brazil	America	1	#VALUE!	#VALUE!	18	13	0	5	'Saban√™_[saba1268][sae]'
'Straits_Salish_[stra1244][str]'	996	PH	str	Saanich	1	sali	Central Salish	Canada	America	20	48:27:00	#VALUE!	40	35	0	5	'Straits_Salish_[stra1244][str]'
'Sasak_[sasa1249][sas]'	997	PH	sas	Sasak	1	anes	Malayic	Indonesia	Asia	2,100,000	#VALUE!	116:30:00	30	19	0	11	'Sasak_[sasa1249][sas]'
'Savara_[sava1244][svr]'	998	PH	svr	Savara	1	drav	South-Central Dravidian	India	Asia	20,200	19:09	82:21:00	30	19	0	11	'Savara_[sava1244][svr]'
'Sayula_Popoluca_[sayu1241][pos]'	999	PH	pos	Popoluca de Sayula	1	mizo	Mixe-Zoque	Mexico	America	4,000	17:50	95:00:00	25	19	0	6	'Sayula_Popoluca_[sayu1241][pos]'
'Secoya_[seco1241][sey]'	1000	PH	sey	Secoya	1	tucn	Tucanoan	Ecuador	America	550	00:15	-76:0	18	12	0	6	'Secoya_[seco1241][sey]'
'Taroko_[taro1264][trv]'	1001	PH	trv	Sedik	1	anes	Atayalic	Taiwan	Asia	20,000	24:00:00	121:30:00	43	33	0	10	'Taroko_[taro1264][trv]'
'Seimat_[seim1238][ssg]'	1002	PH	ssg	Seimat	1	anes	Oceanic	Papua New Guinea	Pacific	1,000	#VALUE!	144:10:00	28	11	0	17	'Seimat_[seim1238][ssg]'
'Semelai_[seme1247][sza]'	1003	PH	sza	Semelai	1	ausa	Aslian	Malaysia	Asia	6,418	03:00	103:00:00	50	32	0	18	'Semelai_[seme1247][sza]'
'Serrano_[serr1255][ser]'	1004	PH	ser	Serrano	1	utaz	Takic	United States	America	1	34:00:00	#VALUE!	42	33	0	9	'Serrano_[serr1255][ser]'
'Shabo_[shab1252][sbf]'	1005	PH	sbf	Shabo	1	nsah	Shabo	Ethiopia	Africa	450	07:40	35:23:00	43	28	2	13	'Shabo_[shab1252][sbf]'
'Yawanawa_[yawa1260][ywn]'	1006	PH	ywn	Shanenawa	2	pano	Panoan	Brazil	America	450	-9:0	#VALUE!	18	14	0	4	'Yawanawa_[yawa1260][ywn]'
'Makonde_[mako1251][kde]'	1007	PH	kde	Shimakonde	1	ncon	Bantoid	Tanzania	Africa	980,000	#VALUE!	39:25:00	28	18	5	5	'Makonde_[mako1251][kde]'
'Shona_[shon1251][sna]'	1008	PH	sna	Shona	1	ncon	Bantoid	Zimbabwe	Africa	10,700,000	-19:0	31:00:00	42	37	0	5	'Shona_[shon1251][sna]'
'Bamun_[bamu1253][bax]'	1009	PH	bax	Shupamem	1	ncon	Bantoid	Cameroon	Africa	215,000	05:40	10:50	38	28	0	10	'Bamun_[bamu1253][bax]'
'Siar-Lak_[siar1238][sjr]'	1010	PH	sjr	Siar-Lak	1	anes	Oceanic	Papua New Guinea	Pacific	2,080	#VALUE!	152:55:00	22	15	0	7	'Siar-Lak_[siar1238][sjr]'
'Shawnee_[shaw1249][sjw]'	1012	PH	sjw	Shawnee	1	algi	Algonquian	United States	America	200	34:50:00	#VALUE!	19	13	0	6	'Shawnee_[shaw1249][sjw]'
'Nuclear_Skou_[nucl1634][skv]'	1013	PH	skv	Skou	1	skoo	Western Skou	Indonesia	Asia	700	#VALUE!	140:55:00	23	13	3	7	'Nuclear_Skou_[nucl1634][skv]'
'South_Efate_[sout2856][erk]'	1015	PH	erk	South Efate	1	anes	Oceanic	Vanuatu	Pacific	6,000	#VALUE!	168:15:00	20	15	0	5	'South_Efate_[sout2856][erk]'
'Spokane_[spok1245][spo]'	1016	PH	spo	Spokan	1	sali	Interior Salish	United States	America	50	47:50:00	-138:0	43	38	0	5	'Spokane_[spok1245][spo]'
'Sissano_[siss1243][sso]'	1017	PH	sso	Sesotho	1	anes	Oceanic	Papua New Guinea	Pacific	300	-3:0	142:05:00	46	37	0	9	'Sissano_[siss1243][sso]'
'Satawalese_[sata1237][stw]'	1018	PH	stw	Satawalese	1	anes	Oceanic	Micronesia	Pacific	460	07:15	147:00:00	42	29	0	13	'Satawalese_[sata1237][stw]'
'Ulwa_[ulwa1239][ulw]'	1019	PH	ulw	Sumo	1	misu	Misumalpan	Nicaragua	America	6700	NULL	NULL	28	22	0	6	'Ulwa_[ulwa1239][ulw]'
'Hupd√´_[hupd1244][jup]'	1020	PH	jup	Hup	1	maku	Nadahup	Brazil	America	1,210	00:40	#VALUE!	29	20	0	9	'Hupd√´_[hupd1244][jup]'
'Copainal√°_Zoque_[copa1236][zoc]'	1021	PH	zoc	San Miguel Chimalapa Zoque	1	mizo	Mixe-Zoque	Mexico	America	4,500	16:48	#VALUE!	26	20	0	6	'Copainal√°_Zoque_[copa1236][zoc]'
'Loxicha_Zapotec_[loxi1235][ztp]'	1022	PH	ztp	Zapotec	1	otma	Zapotecan	Mexico	America	75,000	16:04	#VALUE!	30	23	0	7	'Loxicha_Zapotec_[loxi1235][ztp]'
'Yuki_[yuki1243][yuk]'	1023	PH	yuk	Yuki	1	yuki	Yukian	United States	America	No_known_speakers	39:50:00	#VALUE!	30	24	0	6	'Yuki_[yuki1243][yuk]'
'Yapese_[yape1248][yap]'	1024	PH	yap	Yapese	1	anes	Yapese	Micronesia	Pacific	6,590	09:30	138:10:00	44	28	0	16	'Yapese_[yape1248][yap]'
'Yurok_[yuro1248][yur]'	1025	PH	yur	Yurok	1	algi	Yurok	United States	America	12	41:20:00	124:00:00	35	23	0	12	'Yurok_[yuro1248][yur]'
'Yuracar√©_[yura1255][yuz]'	1026	PH	yuz	Yuracure	2	saso	Yuracare	Bolivia	America	2,680	#VALUE!	#VALUE!	25	18	0	7	'Yuracar√©_[yura1255][yuz]'
'Southern_Yukaghir_[sout2750][yux]'	1027	PH	yux	Yukaghir (Kolyma)	1	yuka	Yukaghir	Russian Federation	Europe	30	64:20:00	154:20:00	33	21	0	12	'Southern_Yukaghir_[sout2750][yux]'
'Nuclear_Wa_[nucl1290][wbm]'	1028	PH	wbm	Wa	1	ausa	Khmer	China	Asia	40,000	21:13	99:28:00	49	27	0	22	'Nuclear_Wa_[nucl1290][wbm]'
'Wambon_[wamb1259][wms]'	1029	PH	wms	Wambon	1	trng	Awju-Dumut	Indonesia	Asia	3,000	#VALUE!	140:30:00	26	16	0	10	'Wambon_[wamb1259][wms]'
'Washo_[wash1253][was]'	1030	PH	was	Washo	1	hoka	Washo	United States	America	10	39:00:00	#VALUE!	32	26	0	6	'Washo_[wash1253][was]'
'Wayana_[waya1269][way]'	1031	PH	way	Wayana	2	cari	Cariban	Suriname	America	400	03:12	#VALUE!	16	9	0	7	'Wayana_[waya1269][way]'
'Wogeo_[woge1237][woc]'	1032	PH	woc	Wogeo	1	anes	Oceanic	Papua New Guinea	Pacific	1,620	#VALUE!	144:05:00	20	15	0	5	'Wogeo_[woge1237][woc]'
'Huarijio_[huar1255][var]'	1033	PH	var	Warihio	1	utaz	Tarahumaran	Mexico	America	2,840	27:50:00	#VALUE!	26	12	0	14	'Huarijio_[huar1255][var]'
'Vai_[vaii1241][vai]'	1034	PH	vai	Vai	1	ncon	Western Mande	Liberia	Africa	104,000	07:00	#VALUE!	43	28	4	11	'Vai_[vaii1241][vai]'
'Ukrainian_[ukra1253][ukr]'	1035	PH	ukr	Ukrainian	1	ieur	Slavic	Ukraine	Europe	31,100,000	50:00:00	30:00:00	30	24	0	6	'Ukrainian_[ukra1253][ukr]'
'Phalura_[phal1254][phl]'	1036	PH	phl	Palula (Phalura)	1	ieur	Iranian	Pakistan	Asia	10,000	35:50:00	71:45:00	40	30	0	10	'Phalura_[phal1254][phl]'
'Taba_[east2440][mky]'	1037	PH	mky	East Makian	3	anes	South Halmahera - West New Guinea	Indonesia	Asia	20,000	00:15	127:20:00	24	19	0	5	'Taba_[east2440][mky]'
'Tok_Pisin_[tokp1240][tpi]'	1038	PH	tpi	Tapiete	1	ocpc	Creoles and Pidgins	Papua New Guinea	Pacific	122,000	#VALUE!	147:10:00	27	15	0	12	'Tok_Pisin_[tokp1240][tpi]'
'Baruga_[baru1269][bjz]'	1039	PH	bjz	Baruga	1	trng	Binanderean	Papua New Guinea	Pacific	2,230	NULL	NULL	24	14	0	10	'Baruga_[baru1269][bjz]'
'Tatuyo_[tatu1247][tav]'	1040	PH	tav	Tatuyo	1	tucn	Tucanoan	Colombia	America	400	00:30	#VALUE!	17	11	0	6	'Tatuyo_[tatu1247][tav]'
'Tagwana_Senoufo_[tagw1240][tgw]'	1041	PH	tgw	Tagwana	1	ncon	Gur	CoÌ‚te d'Ivoire	Africa	138,000	08:47	#VALUE!	45	23	0	22	'Tagwana_Senoufo_[tagw1240][tgw]'
'Mazanderani_[maza1291][mzn]'	1042	PH	mzn	Mazanderani	1	ieur	Iranian	Iran	Asia	3,270,000	36:30:00	52:00:00	29	22	0	7	'Mazanderani_[maza1291][mzn]'
'Pa-'o_Karen_[paok1235][blk]'	1043	PH	blk	Pa-O, Taungthu	1	sitb	Karen	Myanmar	Asia	560,000	12:05	98:56:00	34	20	3	11	'Pa-'o_Karen_[paok1235][blk]'
'Ternate_[tern1247][tft]'	1044	PH	tft	Ternate	1	wpap	North Halmaheran	Indonesia	Asia	42,000	00:50	127:20:00	25	20	0	5	'Ternate_[tern1247][tft]'
'Toba_[toba1269][tob]'	1045	PH	tob	Toba (Argentina)	1	mgua	Guaicuruan	Argentina	America	19,800	-26:0	-59:0	28	21	0	7	'Toba_[toba1269][tob]'
'Polish_[poli1260][pol]'	1046	PH	pol	Polish	1	ieur	Slavic	Poland	Europe	36,600,000	52:00:00	20:00	37	31	0	6	'Polish_[poli1260][pol]'
'Mandarin_Chinese_[mand1415][cmn]'	1047	PH	cmn	Standard Chinese; Mandarin	1	sitb	Chinese	China	Asia	840,000,000	34:00:00	110:00:00	49	24	4	21	'Mandarin_Chinese_[mand1415][cmn]'
'Kalabari_[kala1381][ijn]'	1048	PH	ijn	Kalabari; Kirike; Kalabari-Ijo	1	ncon	Ijoid	Nigeria	Africa	258,000	04:30	06:40	43	22	3	18	'Kalabari_[kala1381][ijn]'
'Eastern_Yiddish_[east2295][ydd]'	1049	PH	ydd	Standard Yiddish	1	ieur	Germanic	Israel	Asia	215,000	51:45:00	19:25	47	38	0	9	'Eastern_Yiddish_[east2295][ydd]'
'Dutch_[dutc1256][nld]'	1050	PH	nld	Dutch	1	ieur	Germanic	Netherlands	Europe	16,400,000	52:00:00	05:00	39	24	0	15	'Dutch_[dutc1256][nld]'
'Malo_[malo1243][mla]'	1051	PH	mla	Tamambo; Malo	1	anes	Oceanic	Vanuatu	Pacific	4,000	#VALUE!	167:10:00	21	16	0	5	'Malo_[malo1243][mla]'
'Gayo_[gayo1244][gay]'	1052	PH	gay	Gayo	1	anes	Gayo	Indonesia	Asia	300,000	04:30	97:00:00	27	19	0	8	'Gayo_[gayo1244][gay]'
'Jamaican_[jama1262][jam]'	1053	PH	jam	Jamaican Creole	1	capc	Creoles and Pidgins	Jamaica	America	2,670,000	19:15	#VALUE!	33	21	0	12	'Jamaican_[jama1262][jam]'
'Mambai_{Atlantic-Congo}_[mamb1294][mcs]'	1054	PH	mcs	Mambay; Mambai	1	ncon	Adamawa	Cameroon	Africa	8,000	09:30	13:55	54	26	4	24	'Mambai_{Atlantic-Congo}_[mamb1294][mcs]'
'Aragonese_[arag1245][arg]'	1055	PH	arg	Aragonese	1	ieur	Romance	Spain	Europe	11,000	42:30:00	00:10	45	33	0	12	'Aragonese_[arag1245][arg]'
'Tilquiapan_Zapotec_[tilq1235][zts]'	1056	PH	zts	Tilquiapan Zapotec	1	otma	Zapotecan	Mexico	America	7,000	16:47	#VALUE!	30	22	2	6	'Tilquiapan_Zapotec_[tilq1235][zts]'
'Ibibio_[ibib1240][ibb]'	1057	PH	ibb	Ibibio	1	ncon	Cross River	Nigeria	Africa	No_estimate_available	05:15	07:50	32	17	2	13	'Ibibio_[ibib1240][ibb]'
'Tamil_[tami1289][tam]'	1058	PH	tam	Tamil	1	drav	Southern Dravidian	India	Asia	61,500,000	09:00	80:30:00	33	21	0	12	'Tamil_[tami1289][tam]'
'Baga_Koga_[baga1273][bgo]'	1060	PH	bgo	Baga Koga; Koba; Barka	1	ncon	Southern Atlantic	Guinea	Africa	5,000	09:55	#VALUE!	25	17	0	8	'Baga_Koga_[baga1273][bgo]'
'South_Nuaulu_[sout2895][nxl]'	1061	PH	nxl	Southern Nuautl	1	anes	Central Malayo-Polynesian	Indonesia	Asia	1,500	#VALUE!	129:05:00	17	12	0	5	'South_Nuaulu_[sout2895][nxl]'
'Selaru_[sela1259][slu]'	1062	PH	slu	Selaru	1	anes	Central Malayo-Polynesian	Indonesia	Asia	8,000	#VALUE!	130:55:00	19	14	0	5	'Selaru_[sela1259][slu]'
'Tsuvadi_[tsuv1239][tvd]'	1063	PH	tvd	Tsuvadi; Avadi; Abadi; Evadi; Kamberi; Ibeto	2	ncon	Kainji	Nigeria	Africa	150,000	11:06	05:15	52	38	2	12	'Tsuvadi_[tsuv1239][tvd]'
'Hanga_Hundi_[hang1263][wos]'	1064	PH	wos	Hanga Hundi; Kwasengen; West Wosera	1	sepr	Middle Sepik	Papua New Guinea	Pacific	7,200	#VALUE!	142:50:00	23	16	0	7	'Hanga_Hundi_[hang1263][wos]'
'Blang_[blan1242][blr]'	1065	PH	blr	Blang; Plang; Bulang; Pulang; Pula; Kawa; K'ala; Kontoi	1	ausa	Palaung-Khmuic	China	Asia	42,000	21:57	100:24:00	40	24	2	14	'Blang_[blan1242][blr]'
'Tatana_[tata1257][txx]'	1066	PH	txx	Tatana'; Tatanaq; Tatana	1	anes	Northwest Malayo-Polynesian	Malaysia	Asia	5,500	05:30	115:30:00	21	17	0	4	'Tatana_[tata1257][txx]'
'Tibetan_[tibe1272][bod]'	1067	PH	bod	Tibetan	1	sitb	Bodic	China	Asia	1,070,000	30:00:00	91:00:00	38	24	6	8	'Tibetan_[tibe1272][bod]'
'Che_[chee1238][ruk]'	1068	PH	ruk	Che; Rukuba; Kuche; Bache; Inchazi; Sale	1	ncon	Platoid	Nigeria	Africa	100,000	09:50	08:35	57	30	3	24	'Che_[chee1238][ruk]'
'Tolowa_[tolo1259][tol]'	1069	PH	tol	Tolowa; Tolowa-Chetco	1	nadn	Athapaskan	United States	America	4	41:50:00	-124:0	31	26	0	5	'Tolowa_[tolo1259][tol]'
'Pagibete_[pagi1243][pae]'	1070	PH	pae	Pagibete; Apakabeti; Apakibeti; Apagibete;Apagibeti; Pagabete	1	ncon	Bantoid	Democratic Republic of the Congo	Africa	28,000	03:05	22:00	51	42	2	7	'Pagibete_[pagi1243][pae]'
'Choctaw_[choc1276][cho]'	1071	PH	cho	Choctaw	1	musk	Muskogean	United States	America	11,400	35:30:00	#VALUE!	21	15	0	6	'Choctaw_[choc1276][cho]'
'Michif_[mich1243][crg]'	1072	PH	crg	Michif	1	naml	Algonquian	United States	America	230	48:35:00	#VALUE!	41	25	0	16	'Michif_[mich1243][crg]'
'Pilag√°_[pila1245][plg]'	1073	PH	plg	Pilaga; PilagaÌÅ	1	mgua	Guaicuruan	Argentina	America	4,000	-25:0	-60:0	22	18	0	4	'Pilag√°_[pila1245][plg]'
'Yuchi_[yuch1247][yuc]'	1074	PH	yuc	Euchee; Yuchi	1	nais	Yuchi	United States	America	50	35:30:00	#VALUE!	49	38	0	11	'Yuchi_[yuch1247][yuc]'
'Baniwa_[bani1255][bwi]'	1075	PH	bwi	Kurripako; Baniwa; Baniwa (Icana)	3	arwk	Arawakan	Brazil	America	5,460	02:45	-67:0	37	25	0	12	'Baniwa_[bani1255][bwi]'
'Kariti√¢na_[kari1311][ktn]'	1076	PH	ktn	Karitiana; KaritiaÌ‚na	2	tupi	Arikem	Brazil	America	320	#VALUE!	#VALUE!	25	11	0	14	'Kariti√¢na_[kari1311][ktn]'
'North_Alaskan_Inupiatun_[nort2943][esi]'	1077	PH	esi	InÌƒupiaq; InÌƒupiat; Inupiat; Inupiaq	1	eska	Eskimo	United States	America	6,420	70:00:00	-162:0	27	24	0	3	'North_Alaskan_Inupiatun_[nort2943][esi]'
'San_Juan_Guelav√≠a_Zapotec_[sanj1284][zab]'	1078	PH	zab	Tlacolula Valley Zapotec; Western Tlacolula Zapotec; Zapotec, San Juan GuelaviÌÅa	1	otma	Zapotecan	Mexico	America	28,000	16:54	#VALUE!	47	29	0	18	'San_Juan_Guelav√≠a_Zapotec_[sanj1284][zab]'
'Tzotzil_[tzot1259][tzo]'	1079	PH	tzo	Tzotzil, Chamula	1	maya	Mayan	Mexico	America	264230	16:21	#VALUE!	26	21	0	5	'Tzotzil_[tzot1259][tzo]'
'Sidamo_[sida1246][sid]'	1080	PH	sid	Sidaama; Sidamo; Sidamic	1	afas	Eastern Cushitic	Ethiopia	Africa	2,900,000	06:40	38:20:00	35	25	0	10	'Sidamo_[sida1246][sid]'
'West_Coast_Bajau_[west2560][bdr]'	1081	PH	bdr	Bajau, West Coast; Land Bajaw; West Coast Bajao	1	anes	Sama-Bajaw	Malaysia	Asia	55,000	04:30	116:00:00	23	17	0	6	'West_Coast_Bajau_[west2560][bdr]'
'Chimariko_[chim1301][cid]'	1082	PH	cid	Chimariko	1	hoka	Chimariko	United States	America	No_known_speakers	41:00:00	123:00:00	42	33	0	9	'Chimariko_[chim1301][cid]'
'Huehuetla_Tepehua_[hueh1236][tee]'	1083	PH	tee	Tepehua, Huehuetla; Tepehua de Hidalgo; Tepehua de Huehuetla	1	toto	Totonacan	Mexico	America	3,000	20:30	#VALUE!	36	26	0	10	'Huehuetla_Tepehua_[hueh1236][tee]'
'Ute-Southern_Paiute_[utes1238][ute]'	1084	PH	ute	Southern Ute; Ute; Ute-Southern Paiute	1	utaz	Numic	United States	America	1,980	37:10:00	-109:0	37	19	0	18	'Ute-Southern_Paiute_[utes1238][ute]'
'Dupaninan_Agta_[dupa1235][duo]'	1085	PH	duo	Dupaningan Agta; Eastern Cagayan Agta; Dupaninan Agta	1	anes	Northern Philippines	Philippines	Asia	1,200	17:50	122:10:00	20	15	0	5	'Dupaninan_Agta_[dupa1235][duo]'
'Tonga_{Tonga_Islands}_[tong1325][ton]'	1086	PH	ton	Tongan; Tonga	1	anes	Oceanic	Tonga	Pacific	96,300	#VALUE!	#VALUE!	17	12	0	5	'Tonga_{Tonga_Islands}_[tong1325][ton]'
'Lake_Miwok_[lake1258][lmw]'	1087	PH	lmw	Lake Miwok; Miwok (Lake)	1	penu	Miwok	United States	America	2	39:00:00	#VALUE!	39	29	0	10	'Lake_Miwok_[lake1258][lmw]'
'Laz_[lazz1240][lzz]'	1088	PH	lzz	Laz	1	kart	Kartvelian	Turkey	Asia	30,000	41:30:00	41:30:00	32	27	0	5	'Laz_[lazz1240][lzz]'
'Juang_[juan1238][jun]'	1089	PH	jun	Juang	1	ausa	Munda	India	Asia	50,000	21:20	86:00:00	29	19	0	10	'Juang_[juan1238][jun]'
'Adang_[adan1251][adn]'	1090	PH	adn	Adang	1	trng	Greater Alor	Indonesia	Asia	31,800	#VALUE!	124:24:00	40	18	0	22	'Adang_[adan1251][adn]'
'Ambele_[ambe1247][ael]'	1091	PH	ael	Ambele	1	ncon	Bantoid	Cameroon	Africa	2,600	05:56	09:37	51	38	3	10	'Ambele_[ambe1247][ael]'
'Apurin√£_[apur1254][apu]'	1092	PH	apu	ApurinaÌƒ	1	arwk	Arawakan	Brazil	America	4,087	#VALUE!	#VALUE!	40	14	0	26	'Apurin√£_[apur1254][apu]'
'Antigua_and_Barbuda_Creole_English_[anti1245][aig]'	1094	PH	aig	Antiguan Creole	1	capc	Creoles and Pidgins	Antigua and Barbuda	America	67,000	17:30	-62:0	37	24	0	13	'Antigua_and_Barbuda_Creole_English_[anti1245][aig]'
'Aklanon_[akla1241][akl]'	1095	PH	akl	Aklan	1	anes	Meso-Philippine	Philippines	Asia	395,000	11:40	122:20:00	20	17	0	3	'Aklanon_[akla1241][akl]'
'Arhuaco_[arhu1242][arh]'	1096	PH	arh	Ika	1	chib	Aruak	Colombia	America	14,800	10:40	#VALUE!	32	16	0	16	'Arhuaco_[arhu1242][arh]'
'Karo_{Brazil}_[karo1305][arr]'	1097	PH	arr	Karo	1	tupi	Ramarama	Brazil	America	170	#VALUE!	#VALUE!	27	14	2	11	'Karo_{Brazil}_[karo1305][arr]'
'Libyan_Arabic_[liby1240][ayl]'	1098	PH	ayl	Lebanese Arabic	1	afas	Semitic	Libya	Africa	4,000,000	29:00:00	28:00:00	50	34	0	16	'Libyan_Arabic_[liby1240][ayl]'
'Batak_Toba_[bata1289][bbc]'	1099	PH	bbc	Toba-Batak	1	anes	Sumatra	Indonesia	Asia	2,000,000	02:30	99:30:00	27	18	0	9	'Batak_Toba_[bata1289][bbc]'
'Baoul√©_[baou1238][bci]'	1100	PH	bci	Baule	1	ncon	Kwa	CoÌ‚te d'Ivoire	Africa	2,130,000	07:00	-5:0	23	16	0	7	'Baoul√©_[baou1238][bci]'
'Bondo_[bond1245][bfw]'	1101	PH	bfw	Remo	1	ausa	Munda	India	Asia	9,000	18:00	82:00:00	27	21	0	6	'Bondo_[bond1245][bfw]'
'Kol_{Cameroon}_[kolc1235][biw]'	1102	PH	biw	Bikele	1	ncon	Bantoid	Cameroon	Africa	12,000	03:40	12:45	55	28	4	23	'Kol_{Cameroon}_[kolc1235][biw]'
'Siksika_[siks1238][bla]'	1103	PH	bla	Blackfoot	1	algi	Algonquian	Canada	America	4,500	50:00:00	#VALUE!	25	13	0	12	'Siksika_[siks1238][bla]'
'Biloxi_[bilo1248][bll]'	1104	PH	bll	Biloxi	1	siou	Siouan	United States	America	Extinct	30:30:00	#VALUE!	20	12	0	8	'Biloxi_[bilo1248][bll]'
'Belize_Kriol_English_[beli1260][bzj]'	1105	PH	bzj	Belizean Creole	1	capc	Creoles and Pidgins	Belize	America	70,000	NULL	NULL	35	22	0	13	'Belize_Kriol_English_[beli1260][bzj]'
'Koasati_[koas1236][cku]'	1106	PH	cku	Koasati	1	musk	Muskogean	United States	America	200	30:30:00	-94:0	25	15	4	6	'Koasati_[koas1236][cku]'
'Comox_[como1259][coo]'	1107	PH	coo	Comox	1	sali	Central Salish	Canada	America	400	50:10:00	-125:0	42	37	0	5	'Comox_[como1259][coo]'
'Sochiapam_Chinantec_[soch1239][cso]'	1108	PH	cso	Sochiapan Chinantec	1	otma	Chinantecan	Mexico	America	5,800	17:50	#VALUE!	39	18	7	14	'Sochiapam_Chinantec_[soch1239][cso]'
'Dimli_[diml1238][diq]'	1109	PH	diq	Dimili	1	ieur	Iranian	Turkey	Asia	1,000,000	NULL	NULL	44	30	0	14	'Dimli_[diml1238][diq]'
'Yekhee_[yekh1238][ets]'	1110	PH	ets	Etsako	1	ncon	Edoid	Nigeria	Africa	274,000	07:10	06:30	36	26	3	7	'Yekhee_[yekh1238][ets]'
'Northern_Frisian_[nort2626][frr]'	1111	PH	frr	Frisian	1	ieur	Germanic	Germany	Europe	10,000	54:30:00	09:00	42	23	0	19	'Northern_Frisian_[nort2626][frr]'
'Gujari_[guja1253][gju]'	1112	PH	gju	Gojri; Gujari; Gujar	1	ieur	Indic	India	Asia	690,000	32:45:00	76:15:00	50	32	0	18	'Gujari_[guja1253][gju]'
'Kotiria_[guan1269][gvc]'	1113	PH	gvc	Wanano	2	tucn	Tucanoan	Brazil	America	550	01:15	#VALUE!	24	16	2	6	'Kotiria_[guan1269][gvc]'
'Hungana_[hung1278][hum]'	1114	PH	hum	Kihungan	1	ncon	Bantoid	Democratic Republic of the Congo	Africa	400	#VALUE!	18:25	33	20	3	10	'Hungana_[hung1278][hum]'
'Halkomelem_[halk1245][hur]'	1115	PH	hur	Chilliwak Halkomelem	1	sali	Central Salish	Canada	America	200	49:15:00	-122:0	47	32	3	12	'Halkomelem_[halk1245][hur]'
'Huastec_[huas1242][hus]'	1116	PH	hus	Huastec	1	maya	Mayan	Mexico	America	121750	21:20	#VALUE!	36	26	0	10	'Huastec_[huas1242][hus]'
'Iloko_[ilok1237][ilo]'	1117	PH	ilo	Ilocano	1	anes	Northern Philippines	Philippines	Asia	6,920,000	18:00	120:30:00	21	17	0	4	'Iloko_[ilok1237][ilo]'
'Kadiw√©u_[kadi1248][kbc]'	1118	PH	kbc	Kadiweu	2	mgua	Guaicuruan	Brazil	America	1,590	#VALUE!	#VALUE!	31	23	0	8	'Kadiw√©u_[kadi1248][kbc]'
'Kutep_[kute1248][kub]'	1119	PH	kub	Kuteb	1	ncon	Platoid	Nigeria	Africa	44,600	07:10	10:00	46	28	5	13	'Kutep_[kute1248][kub]'
'Awa-Cuaiquer_[awac1239][kwi]'	1120	PH	kwi	Awa Pit	1	barb	Barbacoan	Colombia	America	20,000	01:20	#VALUE!	21	14	0	7	'Awa-Cuaiquer_[awac1239][kwi]'
