ID	mtDNA_Lang	population	group	megagroup	HG_red
BOT5_013	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT5_018	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT5_019	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT5_026	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT5_027	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT5_033	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT5_034	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT5_036	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0k
BOT6_258	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT6_259	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT6_260	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d2
BOT6_263	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d2
BOT6_264	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT6_267	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
BOT5_014	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d2
BOT6_031	Naro	Naro	G||ana_Naro	KhoeKalahari	L4
BOT6_036	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d2
BOT6_040	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_041	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_045	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d2
BOT6_046	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_047	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d2
BOT6_053	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_054	Naro	Naro	G||ana_Naro	KhoeKalahari	L0k
BOT6_056	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d2
BOT6_057	Naro	Naro	G||ana_Naro	KhoeKalahari	L0k
BOT6_061	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d2
BOT6_062	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_063	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_066	Naro	Naro	G||ana_Naro	KhoeKalahari	L3e
BOT6_069	Naro	Naro	G||ana_Naro	KhoeKalahari	L0k
BOT6_075	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_076	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_077	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_080	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d2
BOT6_081	Naro	Naro	G||ana_Naro	KhoeKalahari	L0k
BOT6_085	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_086	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_087	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d2
BOT6_089	Naro	Naro	G||ana_Naro	KhoeKalahari	L0k
BOT6_105	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_109	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_110	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d2
BOT6_117	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_118	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_119	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_120	Naro	Naro	G||ana_Naro	KhoeKalahari	L0k
BOT6_121	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT6_123	Naro	Naro	G||ana_Naro	KhoeKalahari	L0d1
BOT5_002	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_003	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_004	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_005	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_006	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_007	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_008	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_009	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_010	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_011	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_012	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_016	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_017	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_020	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_021	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_024	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_025	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_028	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_029	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT5_030	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_035	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_037	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT5_038	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT6_084	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT6_088	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT6_268	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT6_269	G|ui	G|ui	G|ui	KhoeKalahari	L0k
BOT6_270	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT6_272	G|ui	G|ui	G|ui	KhoeKalahari	L0d1
BOT6_273	G|ui	G|ui	G|ui	KhoeKalahari	L3d
BOT6_302	G|ui	G|ui	G|ui	KhoeKalahari	L0d2
BOT2_004	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_01	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_03	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_04	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_05	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_06	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_07	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_08	Hoan	Hoan	Hoan	SKF	L0d2
BOT3_09	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_10	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_11	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_12	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_13	Hoan	Hoan	Hoan	SKF	L0d1
BOT3_14	Hoan	Hoan	Hoan	SKF	L0d1
NAM107	!Xuun	!Xuun	Ju	NKF	L0d1
NAM109	!Xuun	!Xuun	Ju	NKF	L0d1
NAM115	!Xuun	!Xuun	Ju	NKF	L0k
NAM116	!Xuun	!Xuun	Ju	NKF	L0k
NAM117	!Xuun	!Xuun	Ju	NKF	L0d2
NAM118	!Xuun	!Xuun	Ju	NKF	L0d1
NAM119	!Xuun	!Xuun	Ju	NKF	L0d1
NAM120	!Xuun	!Xuun	Ju	NKF	L0k
NAM129	!Xuun	!Xuun	Ju	NKF	L0d1
NAM130	!Xuun	!Xuun	Ju	NKF	L0d1
NAM154	!Xuun	!Xuun	Ju	NKF	L0k
NAM159	!Xuun	!Xuun	Ju	NKF	L0d1
NAM160	!Xuun	!Xuun	Ju	NKF	L0d1
NAM164	!Xuun	!Xuun	Ju	NKF	L0k
NAM168	!Xuun	!Xuun	Ju	NKF	L0d2
NAM169	!Xuun	!Xuun	Ju	NKF	L0k
NAM170	!Xuun	!Xuun	Ju	NKF	L3d
NAM188	!Xuun	!Xuun	Ju	NKF	L0d1
NAM189	!Xuun	!Xuun	Ju	NKF	L0k
NAM190	!Xuun	!Xuun	Ju	NKF	L0k
NAM191	!Xuun	!Xuun	Ju	NKF	L0d1
NAM195	!Xuun	!Xuun	Ju	NKF	L0d2
NAM196	!Xuun	!Xuun	Ju	NKF	L3d
NAM197	!Xuun	!Xuun	Ju	NKF	L0a
NAM199	!Xuun	!Xuun	Ju	NKF	L0k
NAM201	!Xuun	!Xuun	Ju	NKF	L0d1
NAM361	!Xuun	!Xuun	Ju	NKF	L0d1
BOT6_091	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_092	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0k
BOT6_093	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_094	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_095	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_096	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_097	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_098	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0k
BOT6_099	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d2
BOT6_124	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_125	!Xuun	Ju|hoan_North	Ju	NKF	L0d2
BOT6_126	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_127	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0k
BOT6_128	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_129	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L3e
BOT6_130	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_133	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_134	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_135	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_136	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_137	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0k
BOT6_138	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d2
BOT6_139	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_140	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_143	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d2
BOT6_144	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_145	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_146	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_147	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d2
BOT6_148	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0k
BOT6_163	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d2
BOT6_164	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0k
BOT6_192	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0k
BOT6_193	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d2
BOT6_194	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L4
BOT6_195	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d2
NAM003	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0k
NAM005	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0k
NAM023	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d2
NAM068	Ju|hoan_North	Ju|hoan_North	Ju	NKF	L0d1
BOT6_034	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
BOT6_042	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
BOT6_043	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
BOT6_044	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
BOT6_048	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
BOT6_049	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
BOT6_051	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
BOT6_064	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
BOT6_067	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
BOT6_070	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d2
BOT6_071	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L4
BOT6_072	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
BOT6_073	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d2
BOT6_079	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
BOT6_090	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
BOT6_112	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
BOT6_113	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L4
BOT6_116	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d2
BOT6_122	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM002	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM004	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM010	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d2
NAM012	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
NAM013	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d2
NAM015	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM018	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM021	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d2
NAM029	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
NAM038	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d2
NAM046	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
NAM047	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
NAM050	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM051	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM052	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM053	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM055	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d2
NAM056	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
NAM060	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d2
NAM061	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM065	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM066	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM073	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
NAM074	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0d1
NAM075	Ju|hoan_South	Ju|hoan_South	Ju	NKF	L0k
BOT2_001	Taa_n0ahan	Taa_east	Taa_east	SKF	L0d2
BOT2_003	Tshaasi	Taa_east	Taa_east	SKF	L0d1
BOT2_005	Tshaasi	Taa_east	Taa_east	SKF	L0d1
BOT2_006	Tshaasi	Taa_east	Taa_east	SKF	L0d1
BOT2_007	Tshaasi	Taa_east	Taa_east	SKF	L0d1
BOT2_011	Taa_n0ahni	Taa_east	Taa_east	SKF	L0d1
BOT2_012	Tuu_n0ahnnsa	Taa_east	Taa_east	SKF	L0d2
BOT6_001	Tshaasi	Taa_east	Taa_east	SKF	L0d2
BOT6_002	Tshaasi	Taa_east	Taa_east	SKF	L0d1
BOT6_003	Tshaasi	Taa_east	Taa_east	SKF	L0d1
BOT6_007	Tshaasi	Taa_east	Taa_east	SKF	L0d1
BOT6_008	Tshaasi	Taa_east	Taa_east	SKF	L0d2
BOT6_009	hoa	Taa_east	Taa_east	SKF	L0d2
BOT6_010	hoa	Taa_east	Taa_east	SKF	L0d2
BOT6_011	hoa	Taa_east	Taa_east	SKF	L0d2
BOT6_013	hoa	Taa_east	Taa_east	SKF	L0d2
BOT6_014	hoa	Taa_east	Taa_east	SKF	L0d2
BOT6_016	Tshaasi	Taa_east	Taa_east	SKF	L0d1
BOT6_017	hoa	Taa_east	Taa_east	SKF	L0d1
BOT6_018	hoa	Taa_east	Taa_east	SKF	L0d2
BOT6_019	Tshaasi	Taa_east	Taa_east	SKF	L0d2
BOT6_020	hoa	Taa_east	Taa_east	SKF	L0d1
BOT6_021	hoa	Taa_east	Taa_east	SKF	L0d1
BOT6_022	Tshaasi	Taa_east	Taa_east	SKF	L0d2
BOT6_023	Tshaasi	Taa_east	Taa_east	SKF	L0d2
BOT6_024	Tshaasi	Taa_east	Taa_east	SKF	L0d2
BOT6_100	Tshaasi	Taa_east	Taa_east	SKF	L0d1
BOT6_101	Tshaasi	Taa_east	Taa_east	SKF	L0d2
BOT6_102	Hoa	Taa_east	Taa_east	SKF	L0d1
BOT6_103	Tshaasi	Taa_east	Taa_east	SKF	L0d2
BOT2_013	Tuu_n0ahnnsa	Taa_North	Taa_N_W	SKF	L0k
BOT2_014	Tuu_n0ahnnsa	Taa_North	Taa_N_W	SKF	L0d1
BOT2_015	Tuu_n0ahnnsa	Taa_North	Taa_N_W	SKF	L0d1
BOT2_033	Tuu_n0ahnnsa	Taa_North	Taa_N_W	SKF	L0d1
BOT2_034	Tuu_n0ahnnsa	Taa_North	Taa_N_W	SKF	L0d2
BOT2_035	Tuu_n0ahnnsa	Taa_North	Taa_N_W	SKF	L0d1
BOT2_036	Tuu_n0ahnnte	Taa_North	Taa_N_W	SKF	L0d1
BOT2_037	Tuu_n0ahnnte	Taa_North	Taa_N_W	SKF	L0d1
BOT2_039	Tuu_n0ahnnsa	Taa_North	Taa_N_W	SKF	L0d1
BOT2_040	Tuu_n0ahnnsa	Taa_North	Taa_N_W	SKF	L0d1
BOT2_043	Tuu_n0ahnnsa	Taa_North	Taa_N_W	SKF	L0k
BOT2_044	Tuu_n0ahni	Taa_North	Taa_N_W	SKF	L0d1
BOT2_045	Tuu_n0ahni	Taa_North	Taa_N_W	SKF	L0d1
BOT6_025	!Xoon	Taa_North	Taa_N_W	SKF	L0d1
BOT6_026	!Xoon	Taa_North	Taa_N_W	SKF	L0d2
BOT6_028	!Xoon	Taa_North	Taa_N_W	SKF	L0d1
BOT6_029	!Xoon	Taa_North	Taa_N_W	SKF	L0d1
BOT6_030	!Xoon	Taa_North	Taa_N_W	SKF	L0d2
BOT6_032	!Xoon	Taa_North	Taa_N_W	SKF	L0d1
BOT6_035	!Xoon	Taa_North	Taa_N_W	SKF	L0d1
BOT6_037	!Xoon	Taa_North	Taa_N_W	SKF	L0d2
BOT6_038	!Xoon	Taa_North	Taa_N_W	SKF	L0d1
BOT6_055	!Xoon	Taa_North	Taa_N_W	SKF	L0d1
BOT6_106	!Xoon	Taa_North	Taa_N_W	SKF	L0k
BOT6_108	!Xoon	Taa_North	Taa_N_W	SKF	L0k
BOT2_008	_Ama_aqa	Taa_West	Taa_N_W	SKF	L0k
BOT2_009	_Ama	Taa_West	Taa_N_W	SKF	L0d1
BOT2_010	Tuu	Taa_West	Taa_N_W	SKF	L0k
BOT2_016	Taa_n0ahan	Taa_West	Taa_N_W	SKF	L0d2
BOT2_017	Tuu_n0ahnnsa	Taa_West	Taa_N_W	SKF	L0d2
BOT2_019	Tuu_n0ahnnsa	Taa_West	Taa_N_W	SKF	L0d2
BOT2_020	Tuu_n0ahnnsa	Taa_West	Taa_N_W	SKF	L0d2
BOT2_021	Taa_n0ahan	Taa_West	Taa_N_W	SKF	L0d2
BOT2_022	Tuu_n0ahnnsa	Taa_West	Taa_N_W	SKF	L0d1
BOT2_024	Tuu_n0ahnnsa	Taa_West	Taa_N_W	SKF	L0k
BOT2_025	Tuu_n0ahnnsa	Taa_West	Taa_N_W	SKF	L0d1
BOT2_027	Tuu	Taa_West	Taa_N_W	SKF	L0k
BOT2_028	N_oha	Taa_West	Taa_N_W	SKF	L0k
BOT2_029	N_uhmte	Taa_West	Taa_N_W	SKF	L0d1
BOT2_030	Tuu_n0ahnnsa	Taa_West	Taa_N_W	SKF	L0d1
BOT2_031	Taa_n0ahan	Taa_West	Taa_N_W	SKF	L0d1
BOT2_038	Tuu_n0ahnnsa	Taa_West	Taa_N_W	SKF	L0d1
BOT2_046	!Xoon	Taa_West	Taa_N_W	SKF	L0d1
BOT2_048	!Xoon	Taa_West	Taa_N_W	SKF	L0d1
BOT2_049	!Xoon	Taa_West	Taa_N_W	SKF	L0k
BOT2_050	N_oha	Taa_West	Taa_N_W	SKF	L0a
BOT2_053	!Xoon	Taa_West	Taa_N_W	SKF	L0d1
BOT2_055	!Xoon	Taa_West	Taa_N_W	SKF	L0d1
BOT2_056	N_oha	Taa_West	Taa_N_W	SKF	L0d1
BOT2_057	!Xoon	Taa_West	Taa_N_W	SKF	L0d1
BOT2_058	!Xoon	Taa_West	Taa_N_W	SKF	L0d2
BOT2_061	N_oha	Taa_West	Taa_N_W	SKF	L0k
BOT2_063	!Xoon	Taa_West	Taa_N_W	SKF	L0d2
BOT2_064	!Xoon	Taa_West	Taa_N_W	SKF	L0d1
NAM501	!Xoon	Taa_West	Taa_N_W	SKF	L0d1
NAM502	!Xoon	Taa_West	Taa_N_W	SKF	L0d1
