ID	mtDNA_Lang	population	group	megagroup	HG_red
KGA003	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L3e
KGA004	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0a
KGA005	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0a
KGA006	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0d3
KGA008	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0d1
KGA009	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0d1
KGA012	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0d2
KGA016	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0d1
KGA017	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0d2
KGA018	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L3e
KGA019	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0a
KGA020	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L2a
KGA021	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L3e
KGA024	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0d1
KGA025	Kgalagadi	Kgalagadi	BNT_BOT_Kg_Ts	Bantu	L0d3
413	Tswana	Tswana	BNT_BOT_Kg_Ts	Bantu	L0d2
416	Tswana	Tswana	BNT_BOT_Kg_Ts	Bantu	L0a
417	Sekgatla	Tswana	BNT_BOT_Kg_Ts	Bantu	L2a
441	sengwato	Tswana	BNT_BOT_Kg_Ts	Bantu	L2a
443	Sekgatla	Tswana	BNT_BOT_Kg_Ts	Bantu	L0a
444	Sekgatla	Tswana	BNT_BOT_Kg_Ts	Bantu	L0a
462	Sengwato	Tswana	BNT_BOT_Kg_Ts	Bantu	L0a
465	Setswana	Tswana	BNT_BOT_Kg_Ts	Bantu	L0d2
466	Sekwena	Tswana	BNT_BOT_Kg_Ts	Bantu	L0d2
