"Name","glottocode","iso_code","latitude","longitude","BasicWordOrder","AdpositionOrder"
"Baka (in Cameroon)","baka1272","bkc",2.58333333333,13.5833333333,"SVO","Prepositions"
"Bambara","bamb1269","bam",12.5,-7.5,"SOV","Postpositions"
"Bao'an","bona1250","peh",35.75,102.833333333,"SOV","Postpositions"
"Bari","bari1284","bfa",5,31.6666666667,"SVO","Prepositions"
"Basaá","basa1284","bas",3.91666666667,10.5,"SVO","Prepositions"
"Bawm","bawm1236","bgr",22.5,92.25,"SOV","Postpositions"
"Babole","dibo1245","bvx",1.08333333333,17.25,"SVO","Prepositions"
"Barambu","bara1361","brm",3.5,27,"No dominant order","Prepositions"
"Bininj Gun-Wok","gunw1252","gup",-12.5,133.75,"No dominant order","No dominant order"
"Bella Coola","bell1243","blc",52.5,-126.666666667,"VSO","Prepositions"
"Budu","budu1250","buu",2,28,"SVO","Prepositions"
"Beja","beja1238","bej",18,36,"SOV","Postpositions"
"Bongo","bong1285","bot",7.5,28.5,"SVO","Prepositions"
"Bagiro","furu1242","fuu",4.33333333333,20.5833333333,"SVO","No dominant order"
"Baga Sitemu","baga1272","bsp",10.5,-14.5,"SVO","Postpositions"
"Bhojpuri","bhoj1244","bho",26,84,"SOV","Postpositions"
"Bira","bera1259","bip",1,28.75,"SVO","Prepositions"
"Bidiya","bidi1241","bid",11.9166666667,18.75,"SVO","Prepositions"
"Biak","biak1248","bhw",-1,136,"SVO","Prepositions"
"Binandere","bina1277","bhg",-8.25,148,"SOV","Postpositions"
"Birom","bero1242","bom",9.66666666667,8.83333333333,"SVO","Prepositions"
"Baka (in Sudan)","baka1274","bdh",4.83333333333,29.25,"SVO","Prepositions"
"Betta Kurumba","bett1235","xub",11.5,76.75,"SOV","Postpositions"
"Batak (Karo)","bata1293","btx",3.25,98.25,"No dominant order","Prepositions"
"Blackfoot","siks1238","bla",50,-112.666666667,"No dominant order","No adpositions"
"Baule","baou1238","bci",7,-5,"SVO","Postpositions"
"Bilin","bili1260","byn",15.75,38.5,"No dominant order","Postpositions"
"Balti","balt1258","bft",35,76,"SOV","Postpositions"
"Biloxi","bilo1248","bll",30.5,-88.6666666667,"SOV","Postpositions"
"Berber (Middle Atlas)","cent2194","tzm",33,-5,"VSO","Prepositions"
"Bimoba","bimo1239","bim",10.5,0,"SVO","No dominant order"
"Bunuba","buna1275","bck",-17.75,125.75,"No dominant order","Inpositions"
"Bini","bini1246","bin",6.41666666667,5.83333333333,"SVO","Prepositions"
"Bankon","bank1256","abb",4.41666666667,9.58333333333,"SVO","Prepositions"
"Banoni","bann1247","bcm",-6.41666666667,155.25,"SVO","Prepositions"
"Boazi","kuni1265","kvg",-7,141.333333333,"SOV","Postpositions"
"Bobangi","bang1354","bni",-1.33333333333,17.3333333333,"SVO","Prepositions"
"Boko","boko1266","bqc",10.5,3.5,"SOV","Postpositions"
"Bolia","boli1255","bli",-1.25,18.3333333333,"SVO","Prepositions"
"Bongu","bong1291","bpu",-5.5,145.916666667,"SOV","Postpositions"
"Brao","lave1249","brb",14.1666666667,107.5,"SVO","Prepositions"
"Breton","bret1244","bre",48,-3,"SVO","Prepositions"
"Berber (Rif)","tari1263","rif",34.5,-4,"SVO","Prepositions"
"Bribri","brib1243","bzd",9.41666666667,-83,"SOV","Postpositions"
"Burmese","nucl1310","mya",21,96,"SOV","Postpositions"
"Burunge","buru1320","bds",-5.33333333333,36,"SVO","No dominant order"
"Barasano","bara1380","bsn",-0.166666666667,-70.6666666667,"No dominant order","Postpositions"
"Bushoong","bush1247","buf",-4.5,21.5,"SVO","Prepositions"
"Batak (Toba)","bata1289","bbc",2.5,99,"VOS","Prepositions"
"Burarra","bura1267","bvr",-12.25,134.583333333,"SOV","Postpositions"
"Buduma","budu1265","bdm",13.5,14.5,"SVO","Prepositions"
"Bulgarian","bulg1262","bul",42.5,25,"SVO","Prepositions"
"Buma","tean1237","tkw",-11.6333333333,166.833333333,"SVO","Prepositions"
"Busa","busa1253","bqp",9.66666666667,4,"SOV","Postpositions"
"Buriat","mong1330","bxm",52,108,"SOV","Postpositions"
"Buru","buru1303","mhs",-3.5,126.5,"SVO","Prepositions"
"Bali-Vitu","bali1280","wiv",-4.9,149.116666667,"SVO","Prepositions"
"Bajau (West Coast)","west2560","bdr",6.33333333333,116.333333333,"No dominant order","Prepositions"
"Bauzi","bauz1241","bvz",-2.5,137.5,"SOV","Postpositions"
"Cahuilla","cahu1264","chl",33.5,-116.25,"SOV","Postpositions"
"Chai","suri1267","suq",5.33333333333,35.3333333333,"No dominant order","Postpositions"
"Carib","gali1262","car",5.5,-56,"SOV","Postpositions"
"Cashibo","cash1251","cbr",-8.5,-75.5,"SOV","Postpositions"
"Cavineña","cavi1250","cav",-13.3333333333,-66.5,"No dominant order","Postpositions"
"Campa (Axininca)","asha1243","cni",-12,-74,"No dominant order","No adpositions"
"Chumash (Barbareño)","barb1263","boi",34.5,-120.25,"VOS","Prepositions"
"Chácobo","chac1251","cao",-12.1666666667,-66.75,"No dominant order","Postpositions"
"Chinantec (Comaltepec)","coma1246","cco",17.5833333333,-96.4166666667,"VSO","Prepositions"
"Choctaw","choc1276","cho",32.25,-88.5,"SOV","Postpositions"
"Carib (De'kwana)","maqu1238","mch",5.5,-65,"SOV","Postpositions"
"Cebuano","cebu1242","ceb",10,124,"VSO","Prepositions"
"Cèmuhî","cemu1238","cam",-20.8333333333,165.166666667,"VOS","Prepositions"
"Chamorro","cham1312","cha",13.45,144.75,"VSO","Prepositions"
"Chechen","chec1245","che",43.25,45.8333333333,"SOV","Postpositions"
"Cherokee","cher1273","chr",35.5,-83.5,"No dominant order","Postpositions"
"Chang","chan1313","nbc",26.3333333333,94.75,"SOV","Postpositions"
"Chaha","seba1251","sgw",8.112935,37.93267,"SOV","No dominant order"
"Chuj","chuj1249","cac",15.9166666667,-91.5833333333,"VOS","Prepositions"
"Chukchi","chuk1273","ckt",67,-173,"No dominant order","Postpositions"
"Chipewyan","chip1261","chp",59,-106,"SOV","Postpositions"
"Chinantec (Quiotepec)","quio1240","chq",17.5833333333,-96.6666666667,"VSO","Prepositions"
"Chrau","chra1242","crw",10.75,107.5,"SVO","Prepositions"
"Chuvash","chuv1255","chv",55.5,47.5,"SOV","Postpositions"
"Chichewa","nyan1308","nya",-14,34,"SVO","Prepositions"
"Chinook (Lower)","chin1286","chh",46.25,-123.5,"VOS","Prepositions"
"Canela-Krahô","cane1242","xra",-6,-46,"SOV","Postpositions"
"Chinantec (Lealao)","leal1235","cle",17.3333333333,-95.9166666667,"VOS","Prepositions"
"Cholón","chol1284","clh",-8,-77.5,"SOV","Postpositions"
"Chemehuevi","utes1238","ute",34.3333333333,-115.166666667,"No dominant order","Postpositions"
"Comanche","coma1245","com",33.5,-101.5,"SOV","Postpositions"
"Chontal Maya","taba1266","chf",18.1666666667,-92.5833333333,"SVO","Prepositions"
"Cantonese","yuec1235","yue",23,113,"SVO","No dominant order"
"Cocama","coca1259","cod",-5,-74.5,"SVO","Postpositions"
"Coos (Hanis)","coos1249","csz",43.5,-124.166666667,"No dominant order","Postpositions"
"Coptic","copt1239","cop",26,32,"SVO","Prepositions"
"Cora","elna1235","crn",22.1666666667,-104.833333333,"VSO","Postpositions"
"Chinantec (Palantla)","pala1351","cpa",18.8333333333,-96.75,"VSO","Prepositions"
"Cree (Plains)","plai1258","crk",54,-110,"No dominant order","No adpositions"
"Cornish","corn1251","cor",50.3333333333,-5,"SVO","Prepositions"
"Chatino (Sierra Occidental)","west2644","ctp",16.25,-97.3333333333,"VSO","Prepositions"
"Catalan","stan1289","cat",41.75,2,"SVO","Prepositions"
