"Name","glottocode","iso_code","latitude","longitude","BasicWordOrder","AdpositionOrder"
"Kimaghama","kima1246","kig",-8,138.5,"SOV","Postpositions"
"Kinyarwanda","kiny1244","kin",-2,30,"SVO","Prepositions"
"Kiowa","kiow1266","kio",37,-99,"SOV","No adpositions"
"Kirma","cerm1238","cme",10.25,-4.83333333333,"SVO","Postpositions"
"Kisi","kiss1245","kqs",8.83333333333,-10.1666666667,"No dominant order","Prepositions"
"Kiwai","nort2930","kiw",-8,143.5,"SOV","Postpositions"
"Koreguaje","kore1283","coe",1,-75.5,"VSO","Postpositions"
"Karakalpak","kara1467","kaa",43,60,"SOV","Postpositions"
"Kuikúro","kuik1246","kui",-12.4166666667,-53.0833333333,"OVS","Postpositions"
"Kokota","koko1269","kkk",-8,159.133333333,"VSO","Prepositions"
"Korku","kork1243","kfq",22.5,78.5,"SOV","Postpositions"
"Lusi","lusi1240","khl",-5.58333333333,149.666666667,"SVO","Prepositions"
"Kaluli","kalu1248","bco",-6.5,142.75,"SOV","Postpositions"
"Kilivila","kili1267","kij",-8.5,151.083333333,"No dominant order","Prepositions"
"Kiliwa","kili1268","klb",31.3333333333,-115.666666667,"SOV","No adpositions"
"Kamaiurá","kama1373","kay",-12.0833333333,-52.5833333333,"SOV","Postpositions"
"Kombai","ndei1235","wng",-5.58333333333,140,"SOV","Postpositions"
"Kham","gama1251","kgj",28.5,82.75,"SOV","Postpositions"
"Karimojong","kara1483","kdj",3,34.1666666667,"VSO","Prepositions"
"Kuman","kuma1280","kue",-5.91666666667,145,"SOV","Postpositions"
"Koiali (Mountain)","moun1252","kpx",-9,147.5,"SOV","Postpositions"
"Kamass","kama1351","xas",52,92,"SOV","Postpositions"
"Khmu'","khmu1256","kjg",21,102,"SVO","Prepositions"
"Kamu","kamu1258","xmu",-13.5833333333,130.833333333,"No dominant order","Postpositions"
"Kamasau","kama1367","kms",-3.91666666667,143.666666667,"SOV","Postpositions"
"Kanum (Bädi)","badi1247","khd",-8.83333333333,140.75,"SOV","Postpositions"
"Kannada","nucl1305","kan",14,76,"SOV","Postpositions"
"Kaingang","kain1272","kgp",-26,-52,"SOV","Postpositions"
"Konni","konn1242","kma",10.25,-1.58333333333,"SVO","No dominant order"
"Kanakuru","dera1248","kna",10,12,"SVO","Prepositions"
"Kinnauri","kinn1249","kfk",31.5,78,"SOV","Postpositions"
"Kanuri","cent2050","knc",12,13,"SOV","Postpositions"
"Koasati","koas1236","cku",34.8333333333,-85.1666666667,"SOV","Postpositions"
"Kobon","kobo1249","kpw",-5.16666666667,144.333333333,"SOV","Postpositions"
"Koegu","kweg1241","xwg",7,36.0833333333,"SVO","Prepositions"
"Kokborok","kokb1239","trp",24.3333333333,92.5,"SOV","Postpositions"
"Kolami","kola1242","kfb",20,78.5,"SOV","Postpositions"
"Kongo","koon1244","kng",-5,15,"SVO","Prepositions"
"Korean","kore1280","kor",37.5,128,"SOV","Postpositions"
"Kosraean","kosr1238","kos",5.3,163,"SVO","Prepositions"
"Karen (Pwo)","east2341","kjp",13,99.1666666667,"SVO","Prepositions"
"Kiribati","gilb1244","gil",1.33333333333,173,"VOS","Prepositions"
"Karachay-Balkar","kara1465","krc",43.5,42,"SOV","Postpositions"
"Kurdish (Central)","nort2641","kmr",36,44,"SOV","Prepositions"
"Kresh","gbay1288","krs",8.5,24.5,"SVO","Prepositions"
"Krahô","krah1246","xra",-8,-48,"SOV","Postpositions"
"Kipea","kari1255","kzw",-10,-37,"VOS","Prepositions"
"Korana","kora1292","kqz",-29.5,20.5,"No dominant order","Postpositions"
"Kairiru","kair1263","kxa",-3.33333333333,143.583333333,"SOV","No dominant order"
"Koryak","kory1246","kpy",61,167,"SOV","Postpositions"
"Keresan (Santa Ana)","east1472","kee",35.4166666667,-106.666666667,"No dominant order","Postpositions"
"Koyraboro Senni","koyr1242","ses",16,0,"SOV","Postpositions"
"Karen (Sgaw)","sgaw1245","ksw",18,97,"SVO","Prepositions"
"Kete","kete1252","kcv",-7,22.8333333333,"SVO","Prepositions"
"Kati (in West Papua, Indonesia)","yong1280","yon",-5.75,140.916666667,"SOV","Postpositions"
"Khanty","khan1273","kca",65,65,"SOV","Postpositions"
"Kumauni","kuma1273","kfy",30,80,"SOV","Postpositions"
"Kuna","bord1248","kvn",8,-77.3333333333,"SOV","Postpositions"
"Kuvi","kuvi1243","kxv",18.75,82.6666666667,"SOV","Postpositions"
"Kwaio","kwai1243","kwd",-8.95,161,"SVO","Prepositions"
"Kwakw'ala","kwak1269","kwk",51,-127,"No dominant order","Prepositions"
"Kwangali","kwan1273","kwn",-18,19.5,"SVO","Prepositions"
"Kwoma","kwom1262","kmo",-4.16666666667,142.75,"SOV","Postpositions"
"Kawaiisu","kawa1283","xaw",36,-117.5,"No dominant order","Postpositions"
"Kwomtari","nucl1593","kwo",-3.5,141.5,"SOV","Postpositions"
"Iwoyo","sans1272","kwy",-5.5,12.25,"SVO","Prepositions"
"Kxoe","kxoe1243","xuu",-17.5,22.5,"OSV","Postpositions"
"Kuku-Yalanji","kuku1273","gvn",-16,145,"SOV","Prepositions"
"Kyaka","kyak1244","kyc",-5.55,144.083333333,"SOV","Postpositions"
"Kayah Li (Eastern)","east2342","eky",19,97.5,"SVO","No dominant order"
"Karkar-Yuri","kark1258","yuj",-3.75,141.083333333,"SOV","Postpositions"
"Kayabí","kaya1329","kyz",-11,-55.5,"SOV","Postpositions"
"Komi-Zyrian","komi1268","kpv",65,55,"SVO","Postpositions"
"Labu","labu1248","lbu",-6.75,146.916666667,"SVO","Prepositions"
"Lacandón","laca1243","lac",17,-91.5,"No dominant order","Prepositions"
"Ladakhi","lada1244","lbj",34,78,"SOV","Postpositions"
"Lagwan","lagw1237","kot",11.5,14.8333333333,"SVO","Prepositions"
"Lahu","lahu1253","lhu",20,98.1666666667,"SOV","Postpositions"
"Lai","haka1240","cnh",22.6666666667,93.6666666667,"SOV","Postpositions"
"Lalo","xish1235","ywt",25,100.25,"SOV","Postpositions"
"Lango","lang1324","laj",2.16666666667,33,"SVO","Prepositions"
"Lao","laoo1244","lao",18,103,"SVO","Prepositions"
"Latvian","latv1249","lav",57,24,"SVO","Prepositions"
"Lunda","lund1266","lun",-10.6666666667,24,"SVO","Prepositions"
"Londo","orok1266","bdu",5,9.16666666667,"SVO","Prepositions"
"Lendu","lend1245","led",2,30.5,"No dominant order","Postpositions"
"Lebeo","ngel1238","agh",1.75,25,"SVO","Prepositions"
"Lele","lele1276","lln",9.08333333333,15.5833333333,"SVO","Prepositions"
"Lenakel","lena1238","tnl",-19.45,169.25,"SVO","Prepositions"
"Lepcha","lepc1244","lep",27.1666666667,88.5,"SOV","Postpositions"
"Leti","leti1246","lti",-8.2,127.666666667,"SVO","Prepositions"
"Lewo","lewo1242","lww",-16.75,168.333333333,"SVO","Prepositions"
"Lezgian","lezg1247","lez",41.6666666667,47.8333333333,"SOV","Postpositions"
"Langi","lang1320","lag",-4.5,36,"SVO","Prepositions"
"Logoti","logo1259","log",3.5,30,"No dominant order","Postpositions"
"Longgu","long1395","lgu",-9.75,160.666666667,"VOS","Prepositions"
"Hlai (Baoding)","hlai1239","lic",19,109.5,"SVO","Prepositions"
"Lillooet","lill1248","lil",50.75,-122,"VSO","Prepositions"
"Lisu","lisu1250","lis",26,98,"SOV","Postpositions"
"Lithuanian","lith1251","lit",55,24,"SVO","Prepositions"
"Lakhota","lako1247","lkt",43.8333333333,-101.833333333,"SOV","Postpositions"
"Lelemi","lele1264","lef",7.33333333333,0.5,"SVO","Postpositions"
"Lamba","lamb1271","lam",-13,28,"No dominant order","Prepositions"
"Lamang","lama1288","hia",11.25,13.5833333333,"VSO","Prepositions"
"Lamaholot","lama1277","slp",-8.25,122.916666667,"SVO","No dominant order"
"Lamani","lamb1269","lmn",17,77,"SOV","Postpositions"
"Lampung","lamp1243","ljp",-5,105,"SVO","Prepositions"
"Linda","band1344","liy",6.5,20.75,"SVO","Prepositions"
"Loniu","loni1238","los",-2.06666666667,147.333333333,"SVO","Prepositions"
"Lotha","loth1237","njh",26.5,94.25,"SOV","Postpositions"
"Lou","louu1245","loj",-2.38333333333,147.316666667,"SVO","Prepositions"
"Lugbara","lugb1240","lgg",3.08333333333,30.9166666667,"No dominant order","Postpositions"
"Luiseño","luis1253","lui",33.3333333333,-117.166666667,"No dominant order","Postpositions"
"Luo","luok1236","luo",-0.5,34.75,"SVO","Prepositions"
"Luvale","luva1239","lue",-12,22,"SVO","Prepositions"
"Maasai","masa1300","mas",-3,36,"VSO","Prepositions"
"Maba","maba1277","mde",13.75,20.8333333333,"SOV","Postpositions"
"Macushi","macu1259","mbc",4,-60,"No dominant order","Postpositions"
"Ma'di","madi1260","mhi",3.25,31.5,"No dominant order","Postpositions"
"Mae","maee1241","mme",-16,167.25,"SVO","Prepositions"
"Magar","east2352","mgp",28,83,"SOV","Postpositions"
"Majang","maja1242","mpe",6.75,35,"VSO","Postpositions"
"Makah","maka1318","myh",48.3333333333,-124.666666667,"VSO","No dominant order"
"Malagasy","plat1254","plt",-20,47,"VOS","Prepositions"
"Mano","mann1248","mev",7,-9,"SOV","Postpositions"
"Maori","maor1246","mri",-40,176,"VSO","Prepositions"
"Mapudungun","mapu1245","arn",-38,-72,"SVO","No dominant order"
"Maricopa","mari1440","mrc",33.1666666667,-113.166666667,"SOV","Postpositions"
"Masa","masa1322","mcn",10.5,15.5,"SVO","Prepositions"
"Maung","maun1240","mph",-11.9166666667,133.5,"SVO","Prepositions"
"Maninka (Western)","west2500","mlq",13,-11,"SOV","Postpositions"
"Maxakalí","maxa1247","mbl",-18,-40,"SOV","Postpositions"
"Mbere","mber1257","mdt",-0.5,14,"SVO","Prepositions"
"Mbum","mbum1254","mdd",7.75,13.1666666667,"SVO","Prepositions"
"Mbara","mbar1260","mpk",11,15.4166666667,"SVO","No dominant order"
"Mbay","mbay1241","myb",8.25,17.5,"SVO","No dominant order"
"Macedonian","mace1250","mkd",41.6666666667,21.75,"SVO","Prepositions"
"Mende","mend1266","men",7.83333333333,-11.5,"SOV","Postpositions"
"Mundang","mund1325","mua",9.66666666667,14.5,"SVO","Prepositions"
"Madngele","madn1237","zml",-13.8333333333,130.416666667,"SOV","Postpositions"
"Mandan","mand1446","mhq",46.5,-102.5,"SOV","Postpositions"
"Mbodomo","gbay1281","gmm",4.5,15.5,"SVO","Prepositions"
"Manadonese","mala1481","xmm",1.5,124.833333333,"SVO","Prepositions"
"Meyah","meya1236","mej",-1.16666666667,133.5,"SVO","Prepositions"
"Mehri","mehr1241","gdq",17,51.5,"No dominant order","Prepositions"
"Mekens","saki1248","skf",-12.5,-61.5,"SOV","Postpositions"
"Menomini","meno1252","mez",45.5,-88.3333333333,"No dominant order","No adpositions"
"Menya","meny1245","mcr",-7.25,146,"SOV","Postpositions"
"Mondunga","ndun1249","ndt",2.25,21.5,"SVO","Prepositions"
"Mangghuer","tuuu1240","mjg",36,102,"SOV","Postpositions"
"Magahi","maga1260","mag",23.5,85.5,"SOV","Postpositions"
"Magi","mail1248","mgu",-10.3333333333,149.333333333,"SOV","Postpositions"
"Mongo","mong1338","lol",0,21,"SVO","Prepositions"
"Musgu","musg1254","mug",10.8333333333,14.9166666667,"SVO","Prepositions"
"Marathi","mara1378","mar",19,76,"SOV","Postpositions"
"Mien","iumi1238","ium",25,111,"SVO","No adpositions"
"Mikir","karb1241","mjw",26.3333333333,93.5,"SOV","Postpositions"
"Minangkabau","mina1268","min",-1,101,"No dominant order","Prepositions"
"Miskito","misk1235","miq",14,-83.6666666667,"SOV","Postpositions"
"Miya","miya1266","mkf",10.9166666667,9.66666666667,"No dominant order","Prepositions"
"Mizo","lush1249","lus",23.1666666667,92.8333333333,"SOV","Postpositions"
"Mauka","maho1249","mxx",8.33333333333,-7.5,"SOV","Postpositions"
"Mandinka (Gambian)","mand1436","mnk",13.4166666667,-16,"SOV","Postpositions"
"Makasae","maka1316","mkz",-8.66666666667,126.5,"SOV","Postpositions"
"Maklew","makl1246","mgf",-7.66666666667,139.416666667,"SOV","Postpositions"
"Maranungku","mara1386","zmr",-13.6666666667,130,"SOV","Postpositions"
"Malgwa","wand1278","mfi",11.5,13.75,"SVO","Prepositions"
"Mlabri (Minor)","mlab1235","mra",18.5,101,"SVO","Prepositions"
"Maleu","male1289","mgl",-5.71666666667,148.416666667,"SVO","Prepositions"
"Mangap-Mbula","mbul1263","mna",-5.66666666667,148.083333333,"SVO","Prepositions"
"Mamanwa","mama1275","mmn",9.41666666667,125.5,"VSO","Prepositions"
"Muna","muna1247","mnb",-5,122.5,"SVO","Prepositions"
"Manchu","manc1252","mnc",49.5,127.5,"SOV","Postpositions"
"Mandarin","mand1415","cmn",34,110,"SVO","No dominant order"
"Manggarai","mang1405","mqy",-8.5,120.333333333,"SVO","Prepositions"
"Manam","mana1295","mva",-4,145,"SOV","Postpositions"
"Mono (in United States)","mono1275","mnr",38,-119,"SOV","Postpositions"
"Mansi","mans1258","mns",62,62,"SOV","Postpositions"
"Minaveha","mina1269","mvn",-9.6,150.466666667,"SOV","Postpositions"
"Mono-Alu","mono1273","mte",-7.05,155.75,"No dominant order","No dominant order"
"Mordvin (Erzya)","erzy1239","myv",53,45.5,"SVO","Postpositions"
"Mofu-Gudur","mofu1248","mif",10.5,14,"SVO","Prepositions"
"Mokilese","moki1238","mkj",6.66666666667,159.75,"SVO","Prepositions"
"Mombum","nucl1452","mso",-8.25,138.75,"SOV","Postpositions"
"Mon","monn1252","mnw",14.8333333333,100.5,"SVO","Prepositions"
"Mooré","moss1236","mos",12.8333333333,-1.25,"SVO","No dominant order"
"Mor","morm1235","mhz",-2.95,135.75,"SVO","Prepositions"
"Moru","moru1253","mgd",4.75,29.75,"No dominant order","Postpositions"
"Murrinh-Patha","murr1258","mwf",-14.6666666667,129.666666667,"SOV","No dominant order"
"Maipure","maip1246","",5.5,-67.5,"SVO","Postpositions"
"Mian","mian1256","mpt",-4.75,141.5,"SOV","Postpositions"
"Momuna","momu1241","mqf",-4.83333333333,139.25,"SOV","Postpositions"
"Mara","mara1385","mec",-15,135.166666667,"No dominant order","Prepositions"
"Marind","nucl1622","mrz",-7.83333333333,140.166666667,"SOV","Postpositions"
"Margi","marg1265","mrt",11,13,"SVO","Prepositions"
"Marrithiyel","mari1424","mfr",-13.8333333333,130,"SOV","Postpositions"
"Murle","murl1244","mur",6.5,33.5,"VSO","No dominant order"
"Moro","moro1285","mor",11,30.1666666667,"SVO","No dominant order"
"Marquesan","sout2866","mrq",-8.91666666667,-140.083333333,"VSO","Prepositions"
"Martuthunira","mart1255","vma",-20.8333333333,116.5,"SVO","No adpositions"
"Maru","maru1249","mhx",23.5,98.5,"SOV","Postpositions"
"Mising","misi1242","mrg",28.5,94.8333333333,"SOV","Postpositions"
"Musom","muso1238","msu",-6.58333333333,147,"SVO","Prepositions"
"Maisin","mais1250","mbq",-9.5,149.166666667,"SOV","Postpositions"
"Massachusett","wamp1249","wam",42.5,-71,"No dominant order","Prepositions"
"Motu","motu1246","meu",-9.33333333333,147,"SOV","Postpositions"
"Makua","makh1264","mgh",-15,38.6666666667,"SVO","Prepositions"
"Mumuye","nucl1240","mzm",9,11.6666666667,"SVO","Prepositions"
"Mundari","mund1320","unr",23,84.6666666667,"SOV","Postpositions"
"Mupun","mwag1236","sur",9.5,8.83333333333,"SVO","Prepositions"
"Mussau","muss1246","emi",-1.45,149.616666667,"SVO","Prepositions"
"Mundurukú","mund1330","myu",-7,-58,"SOV","Postpositions"
"Manobo (Western Bukidnon)","west2555","mbb",7.66666666667,124.75,"VSO","Prepositions"
"Mwera","mwer1248","mwe",-9,39,"SVO","No adpositions"
"Mixtec (Chalcatongo)","sanm1295","mig",17.05,-97.5833333333,"VSO","Prepositions"
"Mixtec (Jicaltepec)","pino1237","mio",16.3333333333,-98,"VSO","Prepositions"
"Mixtec (Ocotepec)","ocot1243","mie",17.1666666667,-97.75,"VSO","Prepositions"
"Mixtec (Peñoles)","peno1244","mil",17.0833333333,-96.9166666667,"VSO","Prepositions"
"Mixtec (Yosondúa)","yoso1239","mpm",16.9166666667,-97.5833333333,"VSO","Prepositions"
"Mayogo","mayo1261","mdm",3,29,"SVO","Prepositions"
"Mangarrayi","mang1381","mpc",-14.6666666667,133.5,"OVS","Prepositions"
"Matsés","mats1244","mcf",-5.41666666667,-73.25,"SOV","Postpositions"
"Mazatec (Huautla)","huau1238","mau",18.25,-96.8333333333,"No dominant order","Prepositions"
"Nabak","naba1256","naf",-6.41666666667,147,"SOV","Postpositions"
"Nadëb","nade1244","mbj",-1,-66.5,"OSV","Postpositions"
"Neo-Aramaic (Arbel Jewish)","lish1245","aij",31.75,35,"SOV","Prepositions"
"Nakanai","naka1262","nak",-5.58333333333,150.583333333,"SVO","Prepositions"
"Nalik","nali1244","nal",-2.95,151.333333333,"SVO","Prepositions"
"Namia","nami1256","nnm",-3.83333333333,141.75,"SOV","Postpositions"
"Nandi","nand1266","kln",0.25,35,"VSO","Prepositions"
"Nasioi","naas1242","nas",-6.33333333333,155.583333333,"SOV","Postpositions"
"Navajo","nava1243","nav",36.1666666667,-108,"SOV","Postpositions"
"Nubian (Dongolese)","kenu1236","kzh",18.25,30.75,"SOV","Postpositions"
"Ngäbere","ngab1239","gym",8.66666666667,-82,"SOV","Postpositions"
"Nicobarese (Car)","carn1240","caq",9,93,"VOS","Prepositions"
"Ncàm","ntch1242","bud",9.33333333333,0.666666666667,"SVO","No dominant order"
"Ngbandi","nort2774","nbw",3.75,22,"SVO","Prepositions"
"Ndjébbana","djee1236","djj",-12.1666666667,134.116666667,"No dominant order","Postpositions"
"Ndonga","ndon1254","ndo",-18,17,"SVO","Prepositions"
"Ndut","ndut1239","ndv",14.9166666667,-16.9166666667,"SVO","Prepositions"
"Ndumu","ndum1239","nmd",-1.66666666667,13.5833333333,"SVO","Prepositions"
"Ndyuka","ndyu1242","djk",4.5,-54.5,"SVO","Prepositions"
"Nehan","neha1247","nsn",-4.5,154.2,"SVO","Prepositions"
"Nenets","nene1249","yrk",69,72,"SOV","Postpositions"
"Nevome","toho1245","ood",31,-112.5,"SOV","Postpositions"
"Newari (Kathmandu)","newa1246","new",27.6666666667,85.5,"SOV","Postpositions"
"Ngbaka (Minagende)","ngba1285","nga",3.5,20,"SVO","Prepositions"
"Ngad'a","ngad1261","nxg",-8.83333333333,121,"SVO","Prepositions"
"Ngan'gityemerri","nang1259","nam",-14.25,130.416666667,"No dominant order","Postpositions"
"Ngalakan","ngal1293","nig",-14.25,134,"No dominant order","No adpositions"
"Ngambay","ngam1268","sba",8.66666666667,16,"SVO","Prepositions"
"Ngoni","ngon1269","ngo",-11,36,"SVO","Prepositions"
"Nguna","nort2836","llp",-16.9166666667,168.5,"SVO","Prepositions"
"Ngizim","ngiz1242","ngi",12.0833333333,10.9166666667,"SVO","Prepositions"
"Nahuatl (Huasteca)","huas1257","nhw",22,-99,"VSO","Prepositions"
"Nahuatl (Michoacán)","mich1245","ncl",18.5,-103,"SVO","Prepositions"
"Nahuatl (Tetelcingo)","tete1251","nhg",19.6666666667,-99,"SVO","Prepositions"
"Nias","nias1242","nia",1,97.75,"VOS","Prepositions"
"Niuafo'ou","niua1240","num",-15.5666666667,-175.616666667,"VSO","Prepositions"
"Niuean","niue1239","niu",-19.05,-170.116666667,"VSO","Prepositions"
"Nkonya","nkon1245","nko",7.16666666667,0.25,"SVO","Postpositions"
"Nkore-Kiga","chig1238","cgg",-0.916666666667,29.8333333333,"SVO","Prepositions"
"Nancowry","cent1990","ncb",8.05,93.5,"No dominant order","Prepositions"
"Nend","nend1239","anh",-5,144.916666667,"SOV","Postpositions"
"Nankina","nank1250","nnk",-5.78333333333,146.45,"SOV","Postpositions"
"Nocte","noct1238","njb",27,95.5,"SOV","Postpositions"
"Noni","noon1243","nhu",6.41666666667,10.5833333333,"SVO","No dominant order"
"Noon","noon1242","snf",14.8333333333,-16.8333333333,"SVO","Prepositions"
"Nsenga","nsen1242","nse",-14.5,30.8333333333,"SVO","Prepositions"
"Nisgha","nisg1240","ncg",55,-130,"VSO","Prepositions"
"Ngiti","ngit1239","niy",1.33333333333,30.25,"No dominant order","Postpositions"
"Ngaanyatjarra","ngaa1240","ntj",-26,126.5,"SOV","Postpositions"
"Nuaulu","nuau1240","nni",-3.25,129.166666667,"SVO","Prepositions"
"Nuer","nuer1246","nus",8.33333333333,32,"No dominant order","Prepositions"
"Nunggubuyu","nung1290","nuy",-13.75,135.666666667,"No dominant order","No adpositions"
"Nung (in Vietnam)","nung1283","nut",21.9166666667,106.416666667,"SVO","Prepositions"
"Nupe","nupe1254","nup",9.16666666667,5.41666666667,"SVO","Prepositions"
"Nyimang","amas1236","nyi",12.1666666667,29.3333333333,"SOV","Postpositions"
"Nzakara","nzak1247","nzk",5,23,"SVO","Prepositions"
"Ogbronuagum","ogbr1243","ogu",4.75,6.86666666667,"SVO","Prepositions"
"Obolo","obol1243","ann",4.58333333333,7.83333333333,"SVO","Prepositions"
"Ocuilteco","atzi1235","ocu",18.9166666667,-99.6666666667,"SVO","Prepositions"
"Ojibwa (Eastern)","east2542","ojg",46,-80,"No dominant order","No adpositions"
"Oksapmin","oksa1245","opm",-5.16666666667,142.166666667,"SOV","Postpositions"
"Olo","oloo1241","ong",-3.41666666667,142,"SVO","Prepositions"
"Oneida","onei1249","one",43,-75.6666666667,"No dominant order","No adpositions"
"Emai","emai1241","ema",7.08333333333,5.91666666667,"SVO","Prepositions"
"Oromo (Harar)","east2652","hae",9,42,"SOV","Postpositions"
"Orokaiva","orok1269","okv",-8.83333333333,148.25,"SOV","Postpositions"
"Oromo (Waata)","waat1238","ssn",-3.33333333333,39.8333333333,"SOV","Postpositions"
"Orya","orya1242","ury",-2.75,139.833333333,"SOV","Postpositions"
"Osage","osag1243","osa",37,-94,"SOV","Postpositions"
"Ossetic","osse1243","oss",43,44,"SOV","Postpositions"
"Otomí (Mezquital)","mezq1235","ote",20.1666666667,-99.1666666667,"VOS","Prepositions"
"Owininga","owin1240","owi",-4.5,141.75,"SOV","Postpositions"
"Pa'a","paaa1242","pqa",11,9.25,"SVO","Prepositions"
"Paiwan","paiw1248","pwn",22.5,120.833333333,"No dominant order","Prepositions"
"Palauan","pala1344","pau",7.5,134.583333333,"SVO","Prepositions"
"Panjabi","panj1256","pan",31,74,"SOV","Postpositions"
"Päri","pari1256","lkr",5,32.5,"OVS","Prepositions"
"Patep","pate1247","ptp",-6.91666666667,146.583333333,"SVO","Prepositions"
"Paumarí","paum1247","pad",-6,-64,"SVO","Postpositions"
"Folopa","folo1238","ppo",-7,144.5,"SOV","Postpositions"
"Pero","pero1241","pip",9.58333333333,11,"SVO","Prepositions"
"Pilagá","pila1245","plg",-25,-60,"SVO","No adpositions"
"Pipil","pipi1250","ppl",13.8333333333,-89.5833333333,"No dominant order","Prepositions"
"Pisa","asue1235","psa",-5.16666666667,139.166666667,"SOV","Postpositions"
"Pokot","poko1263","pko",1.5,35.5,"VSO","Prepositions"
"Palaung","nucl1291","rbb",22.6666666667,96.6666666667,"SVO","Prepositions"
"Paulohi","paul1238","plh",-3.25,128.75,"SVO","Prepositions"
"Palikur","pali1279","plu",3,-51,"SVO","Prepositions"
"Paamese","paam1238","pma",-16.5,168.25,"SVO","Prepositions"
"Pangwa","pang1287","pbr",-10,34.75,"SVO","Prepositions"
"Pangasinan","pang1290","pag",15.9166666667,120.333333333,"VSO","Prepositions"
"Paiute (Northern)","nort2954","pao",42,-118,"SOV","No dominant order"
"Bunu (Younuo)","youn1235","buh",24,107,"SVO","No adpositions"
"Panará","pana1307","kre",-10,-55,"No dominant order","Postpositions"
"Podoko","park1239","pbi",11,14.0833333333,"VSO","Prepositions"
"Pogoro","pogo1243","poy",-8.75,36.5,"SVO","Prepositions"
"Pohnpeian","pohn1238","pon",6.88333333333,158.25,"SVO","Prepositions"
"Poko-Rawo","rawo1244","rwa",-2.83333333333,141.583333333,"No dominant order","No dominant order"
"Polish","poli1260","pol",52,20,"SVO","Prepositions"
"Portuguese","port1283","por",39,-8,"SVO","Prepositions"
"Prasuni","pras1239","prn",35.5,71,"SOV","Postpositions"
"Pare","asut1235","asa",-4,36.5,"SVO","Prepositions"
"Purki","puri1258","prx",34.6666666667,76,"SOV","Postpositions"
"Persian","west2369","pes",32,54,"SOV","Prepositions"
"Pashto","cent1973","pst",33,67,"SOV","Postpositions"
"Passamaquoddy-Maliseet","male1292","pqm",45,-67,"No dominant order","Prepositions"
"Pomo (Southeastern)","sout2982","pom",39,-122.5,"SOV","Postpositions"
"Port Sandwich","port1285","psw",-16.5,167.75,"SVO","Prepositions"
"Pattani","patt1248","lae",32.75,76.75,"SOV","Postpositions"
"Patwin","wint1259","wit",39,-122.333333333,"No dominant order","Postpositions"
"Puluwat","pulu1242","puw",7.33333333333,149.333333333,"SVO","Prepositions"
"Pumi","pumi1242","pmi",28,101,"SOV","Postpositions"
"Purépecha","pure1242","tsz",19.5,-101.666666667,"SVO","No dominant order"
"Qafar","afar1241","aar",12,42,"SOV","Postpositions"
"Quechua (Huallaga)","huam1248","qvh",-9.5,-75.5,"SOV","Postpositions"
"Quechua (Imbabura)","imba1240","qvi",0.333333333333,-78,"SOV","Postpositions"
"Sipakapense","sipa1247","qum",15.25,-91.75,"VSO","Prepositions"
"Raga","hano1246","lml",-15.5,168.166666667,"SVO","Prepositions"
"Rama","rama1270","rma",11.75,-83.75,"SOV","Postpositions"
"Rapanui","rapa1244","rap",-27.1166666667,-109.366666667,"VSO","Prepositions"
"Rawang","rawa1265","raw",27.5,97.5,"SOV","Postpositions"
"Resígaro","resi1247","rgr",-2.41666666667,-71.5,"SOV","Postpositions"
"Retuarã","tani1257","tnc",-0.5,-70.6666666667,"SOV","Postpositions"
"Ronga","rong1268","rng",-26,32.5,"SVO","Prepositions"
"Rikbaktsa","rikb1245","rkb",-11.8333333333,-57.5,"SOV","Postpositions"
"Runyankore","nyan1307","nyn",-0.5,30.5,"SVO","Prepositions"
"Romanian","roma1327","ron",46,25,"SVO","Prepositions"
"Rotuman","rotu1241","rtm",-12.5,177.066666667,"SVO","Prepositions"
"Rukai (Tanan)","ruka1240","dru",22.8333333333,120.833333333,"No dominant order","Prepositions"
"Rumu","rumu1243","klq",-7.16666666667,144.25,"SOV","Postpositions"
"Runga","rung1258","rou",10.3333333333,21,"SOV","Postpositions"
"Russian","russ1263","rus",56,38,"SVO","Prepositions"
"Rutul","rutu1240","rut",41.5,47.4166666667,"SOV","Postpositions"
"Romani (Welsh)","wels1246","rmw",52,-4,"No dominant order","Prepositions"
"Sahu","sahu1245","saj",1.16666666667,127.5,"SVO","Prepositions"
"Sakao","saka1289","sku",-15.1666666667,167.083333333,"SVO","Prepositions"
"Samoan","samo1305","smo",-13.9166666667,-171.833333333,"No dominant order","Prepositions"
"Sango","sang1328","sag",5,18,"SVO","Prepositions"
"Sare","kapr1245","dju",-4.5,143.166666667,"SOV","Postpositions"
"Savi","savi1242","sdg",35,71.5,"SOV","Postpositions"
"Serbian-Croatian","sout1528","bos",44,19,"SVO","Prepositions"
"Sebei","kups1238","kpz",1.33333333333,34.5833333333,"VSO","Prepositions"
"Sedang","seda1262","sed",14.8333333333,108,"SVO","Prepositions"
"Selknam","onaa1245","ona",-53,-70,"OVS","Postpositions"
"Sesotho","sout2807","sot",-28,27,"SVO","Prepositions"
"Sougb","mani1235","mnx",-1.5,134,"SVO","Prepositions"
"Sengele","seng1278","szg",-1.83333333333,17.3333333333,"SVO","Prepositions"
"Sherpa","sher1255","xsr",27.75,86.8333333333,"SOV","Postpositions"
"Sharanahua","shar1245","mcd",-11,-70,"SOV","Postpositions"
"Shiriana","nina1238","shb",3.5,-62.8333333333,"SOV","Postpositions"
