"glotto.code","glotto.name","glotto.family","area"
"moun1252","Mountain Koiali","Koiarian","S New Guinea"
"usan1239","Usan","Nuclear Trans New Guinea","N Coast New Guinea"
"lagw1237","Lagwan","Afro-Asiatic","African Savannah"
"than1259","Thangmi","Sino-Tibetan","Indic"
"russ1263","Russian","Indo-European","Inner Asia"
"sout1528","South-Western Slavic","Indo-European","African Savannah"
"benc1235","Bench","Ta-Ne-Omotic","Greater Abyssinia"
"timu1262","Timugon Murut","Austronesian","Southeast Asia"
"bidi1241","Bidiyo","Afro-Asiatic","African Savannah"
"siee1239","Sie","Austronesian","Oceania"
"jola1263","Jola-Fonyi","Atlantic-Congo","African Savannah"
"garo1247","Garo","Sino-Tibetan","Indic"
"chol1284","Cholón","Hibito-Cholon","Andean"
"kist1241","Kistane","Afro-Asiatic","Greater Abyssinia"
"heil1246","Heiltsuk","Wakashan","Alaska-Oregon"
"yelm1242","Yelmek","Bulaka River","S New Guinea"
"ship1254","Shipibo-Conibo","Panoan","NE South America"
"yeii1239","Yei","Morehead-Wasur","S New Guinea"
"hang1263","Hanga Hundi","Ndu","N Coast New Guinea"
"kach1280","Kachin","Sino-Tibetan","Southeast Asia"
"rapa1244","Rapanui","Austronesian","Oceania"
"wahg1249","Wahgic","Nuclear Trans New Guinea","E North America"
"tele1256","Telefol","Nuclear Trans New Guinea","Interior New Guinea"
"pang1290","Pangasinan","Austronesian","Oceania"
"yoru1245","Yoruba","Atlantic-Congo","African Savannah"
"bawm1236","Bawm Chin","Sino-Tibetan","Indic"
"gunn1250","Gun","Atlantic-Congo","African Savannah"
"gbay1287","Gbaya-Bossangoa","Atlantic-Congo","African Savannah"
"teso1249","Teso","Nilotic","S Africa"
"kork1243","Korku","Austroasiatic","Indic"
"nisg1240","Nisga'a","Tsimshian","Alaska-Oregon"
"naka1262","Nakanai","Austronesian","N Coast New Guinea"
"bali1280","Bali-Vitu","Austronesian","Mesoamerica"
"yuro1248","Yurok","Algic","California"
"dong1285","Dongxiang","Mongolic","Southeast Asia"
"lund1266","Lunda","Atlantic-Congo","S Africa"
"east2288","East Frisian Low Saxon","Indo-European","Europe"
"tibe1272","Tibetan","Sino-Tibetan","Inner Asia"
"sorb1249","Sorbian","Indo-European","Europe"
"oloo1241","Olo","Nuclear Torricelli","N Coast New Guinea"
"wann1242","Wan","Mande","African Savannah"
"logo1259","Logo","Central Sudanic","S Africa"
"maga1260","Magahi","Indo-European","Indic"
"turk1303","Turkic Khalaj","Turkic","Greater Mesopotamia"
"nupe1254","Nupe-Nupe-Tako","Atlantic-Congo","African Savannah"
"huam1250","Hua Miao","Hmong-Mien","Oceania"
"fiji1243","Fijian","Austronesian","Oceania"
"doya1240","Doyayo","Atlantic-Congo","African Savannah"
"kabi1261","Kabiyé","Atlantic-Congo","African Savannah"
"kaya1329","Kayabí","Tupian","NE South America"
"kuma1280","Kuman","Nuclear Trans New Guinea","Interior New Guinea"
"nene1249","Nenets","Uralic","Inner Asia"
"dagb1246","Dagbani","Atlantic-Congo","African Savannah"
"shil1265","Shilluk","Nilotic","African Savannah"
"hlai1239","Hlai","Tai-Kadai","Southeast Asia"
"osse1243","Ossetian","Indo-European","Greater Mesopotamia"
"motu1246","Motu","Austronesian","S New Guinea"
"ngar1284","Ngarinyin","Worrorran","N Australia"
"waya1270","Wayampi","Tupian","NE South America"
"nucl1452","Nuclear Mombum","Mombum","S New Guinea"
"mani1235","Manikion","East Bird's Head","N Coast New Guinea"
"pana1307","Panará","Nuclear-Macro-Je","NE South America"
"tuka1247","Tukang Besi","Austronesian","N Coast Asia"
"gali1262","Galibi Carib","Cariban","NE South America"
"even1259","Evenki","Tungusic","Inner Asia"
"afar1241","Afar","Afro-Asiatic","Greater Abyssinia"
"hind1269","Hindi","Indo-European","Indic"
"mwag1236","Mwaghavul","Afro-Asiatic","African Savannah"
"nyan1307","Nyankole","Atlantic-Congo","S Africa"
"rutu1240","Rutul","Nakh-Daghestanian","Greater Mesopotamia"
"bang1354","Bangi","Atlantic-Congo","S Africa"
"kham1282","Khams Tibetan","Sino-Tibetan","Inner Asia"
"kete1252","Kete","Atlantic-Congo","S Africa"
"eipo1242","Eipomek","Nuclear Trans New Guinea","Interior New Guinea"
"komb1272","Kombio","Nuclear Torricelli","N Coast New Guinea"
"mais1250","Maisin","Austronesian","S New Guinea"
"mber1257","Mbere","Atlantic-Congo","S Africa"
"savi1242","Savi","Indo-European","Indic"
"kwai1243","Kwaio","Austronesian","Oceania"
"mina1269","Minaveha","Austronesian","S New Guinea"
"nucl1302","Modern Georgian","Kartvelian","Greater Mesopotamia"
"enet1250","Enets","Uralic","N Australia"
"cher1273","Cherokee","Iroquoian","E North America"
"lamb1271","Lamba","Atlantic-Congo","S Africa"
"cent2050","Central Kanuri","Saharan","Greater Mesopotamia"
"ilok1237","Iloko","Austronesian","Oceania"
"lamb1269","Lambadi","Indo-European","Indic"
"onaa1245","Selk'nam","Chonan","SE South America"
"kara1483","Karamojong","Nilotic","S Africa"
"abau1245","Abau","Sepik","N Coast New Guinea"
"gbay1288","Gbaya (Sudan)","Kresh-Aja","African Savannah"
"sout2982","Southeastern Pomo","Pomoan","California"
"cemu1238","Cemuhî","Austronesian","Oceania"
"apat1240","Apatani","Sino-Tibetan","Indic"
"west2644","Western Highland Chatino","Otomanguean","Mesoamerica"
"port1283","Portuguese","Indo-European","Europe"
"mezq1235","Mezquital Otomi","Otomanguean","Mesoamerica"
"mbay1241","Mbay","Central Sudanic","African Savannah"
"buki1249","Bukiyip","Nuclear Torricelli","N Coast New Guinea"
"nort2671","Northern Sami","Uralic","Inner Asia"
"shar1245","Sharanahua","Panoan","NE South America"
"mama1275","Mamanwa","Austronesian","Oceania"
"mund1325","Mundang","Atlantic-Congo","African Savannah"
"luva1239","Luvale","Atlantic-Congo","S Africa"
"doma1258","Domari","Indo-European","Greater Mesopotamia"
"laca1243","Lacandon","Mayan","Mesoamerica"
"tetu1245","Tetum","Austronesian","Oceania"
"owin1240","Owiniga","Left May","N Coast New Guinea"
"warr1258","Warrwa","Nyulnyulan","N Australia"
"atzi1235","Atzingo Matlatzinca","Otomanguean","Mesoamerica"
"kiow1266","Kiowa","Kiowa-Tanoan","Basin and Plains"
"tama1365","Tamasheq","Afro-Asiatic","African Savannah"
"indo1317","Indonesian Bajau","Austronesian","Oceania"
"kaby1243","Kabyle","Afro-Asiatic","N Africa"
"anei1239","Anejom","Austronesian","Oceania"
"panj1256","Panjabi","Indo-European","Indic"
"yand1253","Yandruwandha","Pama-Nyungan","S Australia"
"rawo1244","Rawo (Papua New Guinea)","Sko","N Coast New Guinea"
"yagu1244","Yagua","Peba-Yagua","NE South America"
"sund1252","Sundanese","Austronesian","Southeast Asia"
"kama1367","Kamasau","Nuclear Torricelli","N Coast New Guinea"
"pate1247","Patep","Austronesian","Interior New Guinea"
"gilb1244","Gilbertese","Austronesian","Oceania"
"cent2131","Central Tarahumara","Uto-Aztecan","Mesoamerica"
"even1260","Even","Tungusic","Inner Asia"
"suab1238","Suabo","Inanwatan","N Coast New Guinea"
"amah1246","Amahuaca","Panoan","NE South America"
"yaga1260","Yagaria","Nuclear Trans New Guinea","Interior New Guinea"
"murl1244","Murle","Surmic","African Savannah"
"amha1245","Amharic","Afro-Asiatic","Greater Abyssinia"
"adam1253","Adamawa Fulfulde","Atlantic-Congo","African Savannah"
"bank1256","Bankon","Atlantic-Congo","African Savannah"
"popt1235","Popti'","Mayan","Mesoamerica"
"port1285","Port Sandwich","Austronesian","Oceania"
"hixk1239","Hixkaryána","Cariban","NE South America"
"sars1236","Sarsi","Athapaskan-Eyak-Tlingit","Basin and Plains"
"slav1253","Slave","Athapaskan-Eyak-Tlingit","N Coast New Guinea"
"ngad1261","Ngad'a","Austronesian","Oceania"
"koyr1242","Koyraboro Senni Songhai","Songhay","African Savannah"
"epen1239","Epena","Chocoan","Andean"
"ukra1253","Ukrainian","Indo-European","Inner Asia"
"hili1240","Hiligaynon","Austronesian","Oceania"
"ngas1240","Ngas","Afro-Asiatic","African Savannah"
"ubyk1235","Ubykh","Abkhaz-Adyge","Greater Mesopotamia"
"guar1293","Guarequena","Arawakan","NE South America"
"bush1247","Bushoong","Atlantic-Congo","S Africa"
"enge1239","Engenni","Atlantic-Congo","African Savannah"
"west2555","Western Bukidnon Manobo","Austronesian","Oceania"
"guah1255","Guahibo","Guahibo","NE South America"
"niua1240","Niuafo'ou","Austronesian","Oceania"
"colo1256","Tsafiki","Barbacoan","Andean"
"patt1248","Pattani","Sino-Tibetan","Indic"
"daww1239","Dâw","Nadahup","NE South America"
"huau1238","Huautla Mazatec","Otomanguean","Mesoamerica"
"moss1236","Mossi","Atlantic-Congo","African Savannah"
"ngom1268","Ngombe (Democratic Republic of Congo)","Atlantic-Congo","S Africa"
"pulu1242","Puluwatese","Austronesian","Oceania"
"nort2954","Northern Paiute","Uto-Aztecan","Basin and Plains"
"kuvi1243","Kuvi","Dravidian","Indic"
"tung1290","Tungag","Austronesian","N Coast New Guinea"
"lamp1243","Lampung Api","Austronesian","Southeast Asia"
"kark1258","Karkar-Yuri","Pauwasi","N Coast New Guinea"
"taki1248","Takia","Austronesian","N Coast New Guinea"
"urdu1245","Urdu","Indo-European","Indic"
"copa1237","Copala Triqui","Otomanguean","Mesoamerica"
"niue1239","Niuean","Austronesian","Oceania"
"sanu1240","Sanumá","Yanomam","NE South America"
"irar1238","Irarutu","Austronesian","N Coast New Guinea"
"hemb1242","Hemba","Atlantic-Congo","S Africa"
"mitl1236","Mitla Zapotec","Otomanguean","Mesoamerica"
"kala1399","Kalaallisut","Eskimo-Aleut","E North America"
"ocot1243","Ocotepec Mixtec","Otomanguean","Mesoamerica"
"ngba1285","Ngbaka","Atlantic-Congo","S Africa"
"esee1248","Ese Ejja","Tacanan","NE South America"
"wole1240","Woleaian","Austronesian","Oceania"
"cham1312","Chamorro","Austronesian","Oceania"
"nank1250","Nankina","Nuclear Trans New Guinea","N Coast New Guinea"
"mart1255","Martuthunira","Pama-Nyungan","S Australia"
"temi1246","Temiar","Austroasiatic","Southeast Asia"
"iris1253","Irish","Indo-European","Europe"
"darg1241","Dargwa","Nakh-Daghestanian","Greater Mesopotamia"
"kokb1239","Kok Borok","Sino-Tibetan","Indic"
"paum1247","Paumarí","Arawan","NE South America"
"poli1260","Polish","Indo-European","Europe"
"yind1247","Yindjibarndi","Pama-Nyungan","S Australia"
"ambu1247","Ambulas","Ndu","N Coast New Guinea"
"yaku1245","Yakut","Turkic","Inner Asia"
"donn1238","Donno So Dogon","Dogon","African Savannah"
"wich1264","Wichí Lhamtés Güisnay","Matacoan","SE South America"
"east2342","Eastern Kayah","Sino-Tibetan","Southeast Asia"
"nami1256","Namia","Sepik","N Coast New Guinea"
"guma1254","Gumawana","Austronesian","S New Guinea"
"muso1238","Musom","Austronesian","N Coast New Guinea"
"huar1255","Huarijio","Uto-Aztecan","Mesoamerica"
"maba1277","Maba (Chad)","Maban","African Savannah"
"sipa1247","Sipacapense","Mayan","Mesoamerica"
"bagi1246","Bagirmi","Central Sudanic","African Savannah"
"koho1244","Koho","Austroasiatic","Southeast Asia"
"mari1440","Maricopa","Cochimi-Yuman","Basin and Plains"
"adan1251","Adang","Timor-Alor-Pantar","Oceania"
"lang1320","Langi","Atlantic-Congo","S Africa"
"mong1330","Mongolia Buriat","Mongolic","Alaska-Oregon"
"beja1238","Beja","Afro-Asiatic","N Africa"
"jams1239","Jamsay Dogon","Dogon","African Savannah"
"toho1245","Tohono O'odham","Uto-Aztecan","Basin and Plains"
"kenu1236","Kenuzi-Dongola","Nubian","African Savannah"
"pana1305","Panamint","Uto-Aztecan","Basin and Plains"
"icel1247","Icelandic","Indo-European","Europe"
"wamp1249","Wampanoag","Algic","E North America"
"kara1467","Kara-Kalpak","Turkic","Inner Asia"
"nand1266","Nandi","Nilotic","S Africa"
"waat1238","Waata","Afro-Asiatic","S Africa"
"salt1242","Salt-Yui","Nuclear Trans New Guinea","Interior New Guinea"
"abui1241","Abui","Timor-Alor-Pantar","N Coast New Guinea"
"bera1259","Bera","Atlantic-Congo","S Africa"
"nucl1301","Nuclear Turkish","Turkic","Greater Mesopotamia"
"ital1282","Italian","Indo-European","Europe"
"hung1274","Hungarian","Uralic","Europe"
"gami1243","Gamilaraay","Pama-Nyungan","S Australia"
"mara1385","Mara","Mangarrayi-Maran","N Australia"
"plat1254","Plateau Malagasy","Austronesian","Southeast Asia"
"park1239","Parkwa","Afro-Asiatic","African Savannah"
"seme1247","Semelai","Austroasiatic","Southeast Asia"
"ngon1269","Ngoni","Atlantic-Congo","S Africa"
"bilo1248","Biloxi","Siouan","E North America"
"maxa1247","Maxakalí","Nuclear-Macro-Je","SE South America"
"samb1305","Samba Leko","Atlantic-Congo","African Savannah"
"hoav1238","Hoava","Austronesian","Oceania"
"meny1245","Menya","Angan","Interior New Guinea"
"kris1246","Krisa","Sko","N Coast New Guinea"
"para1311","Paraguayan Guaraní","Tupian","SE South America"
"mace1250","Macedonian","Indo-European","Europe"
"lisu1250","Lisu","Sino-Tibetan","Southeast Asia"
"mong1338","Mongo (Atlantic-Congo)","Atlantic-Congo","S Africa"
"lezg1247","Lezgian","Nakh-Daghestanian","Greater Mesopotamia"
"luba1250","Luba-Katanga","Atlantic-Congo","S Africa"
"cash1251","Cashibo-Cacataibo","Panoan","Andean"
"mich1245","Michoacán Nahuatl","Uto-Aztecan","Mesoamerica"
"isth1244","Isthmus Zapotec","Otomanguean","Mesoamerica"
"stan1293","Standard English","Indo-European","Europe"
"sout2789","Southern Dagaare","Atlantic-Congo","African Savannah"
"bero1242","Berom","Atlantic-Congo","African Savannah"
"gari1256","Garifuna","Arawakan","Mesoamerica"
"buru1303","Buru (Indonesia)","Austronesian","Oceania"
"adyg1241","Adyghe","Abkhaz-Adyge","Greater Mesopotamia"
"nort2641","Northern Kurdish","Indo-European","Oceania"
"udih1248","Udihe","Tungusic","N Coast Asia"
"alun1238","Alune","Austronesian","Oceania"
"maee1241","Mae (Vanuatu)","Austronesian","Oceania"
"orok1266","Oroko","Atlantic-Congo","African Savannah"
"leal1235","Lealao Chinantec","Otomanguean","Mesoamerica"
"pali1279","Palikúr","Arawakan","NE South America"
"gaam1241","Gaam","Eastern Jebel","African Savannah"
"vaii1241","Vai","Mande","African Savannah"
"xaas1235","Xaasongaxango","Mande","African Savannah"
"nama1264","Nama (Namibia)","Khoe-Kwadi","S Africa"
"bong1285","Bongo","Central Sudanic","African Savannah"
"bata1289","Batak Toba","Austronesian","Southeast Asia"
"lush1249","Mizo","Sino-Tibetan","Southeast Asia"
"macu1259","Macushi","Cariban","NE South America"
"loth1237","Lotha Naga","Sino-Tibetan","Southeast Asia"
"pari1256","Päri","Nilotic","African Savannah"
"scot1245","Scottish Gaelic","Indo-European","Europe"
"mang1405","Manggarai","Austronesian","Oceania"
"lena1238","Lenakel","Austronesian","Oceania"
"tsha1245","Tshangla","Sino-Tibetan","Indic"
"kama1351","Kamas","Uralic","Inner Asia"
"nucl1417","Nuclear Igbo","Atlantic-Congo","African Savannah"
"gude1246","Gude","Afro-Asiatic","African Savannah"
"seng1278","Sengele","Atlantic-Congo","S Africa"
"lang1324","Lango (Uganda)","Nilotic","S Africa"
"tivv1240","Tiv","Atlantic-Congo","African Savannah"
"chig1238","Chiga","Atlantic-Congo","S Africa"
"boko1266","Boko (Benin)","Mande","African Savannah"
"valm1241","Walman","Nuclear Torricelli","N Coast New Guinea"
"kiku1240","Kikuyu","Atlantic-Congo","S Africa"
"folo1238","Folopa","Teberan","Interior New Guinea"
"sooo1256","Soo","Kuliak","S Africa"
"slov1268","Slovenian","Indo-European","Europe"
"aona1235","Ao Naga","Sino-Tibetan","Southeast Asia"
"dido1241","Tsez","Nakh-Daghestanian","Greater Mesopotamia"
"kili1267","Kilivila","Austronesian","S New Guinea"
"bhoj1244","Bhojpuri","Indo-European","Indic"
"aros1241","Arosi","Austronesian","Oceania"
"urak1238","Urak Lawoi'","Austronesian","Southeast Asia"
"brib1243","Bribri","Chibchan","Mesoamerica"
"musg1254","Musgu","Afro-Asiatic","African Savannah"
"chac1251","Chácobo","Panoan","NE South America"
"wamb1257","Wambule","Sino-Tibetan","Indic"
"goem1240","Goemai","Afro-Asiatic","African Savannah"
"tigr1270","Tigre","Afro-Asiatic","Greater Abyssinia"
"neha1247","Nehan","Austronesian","Oceania"
"kain1272","Kaingang","Nuclear-Macro-Je","SE South America"
"wayu1243","Wayuu","Arawakan","NE South America"
"furu1242","Furu","Central Sudanic","S Africa"
"gbay1281","Gbaya-Mbodomo","Atlantic-Congo","E North America"
"kara1500","Karajá","Nuclear-Macro-Je","NE South America"
"yuec1235","Yue Chinese","Sino-Tibetan","Southeast Asia"
"kwom1262","Kwoma","Sepik","N Coast New Guinea"
"haka1240","Haka Chin","Sino-Tibetan","Southeast Asia"
"sanm1295","San Miguel El Grande Mixtec","Otomanguean","Mesoamerica"
"kuni1265","Kuni-Boazi","Anim","S New Guinea"
"wich1260","Wichita","Caddoan","Basin and Plains"
"nucl1291","Nuclear Palaung","Austroasiatic","S Africa"
"mara1386","Maranunggu","Western Daly","N Australia"
"bina1277","Binandere","Nuclear Trans New Guinea","S New Guinea"
"ward1246","Wardaman","Yangmanic","N Australia"
"buru1320","Burunge","Afro-Asiatic","S Africa"
"achi1257","Achinese","Austronesian","Southeast Asia"
"louu1245","Lou","Austronesian","N Coast New Guinea"
"halh1238","Halh Mongolian","Mongolic","Inner Asia"
"bret1244","Breton","Indo-European","Europe"
"east2440","Taba","Austronesian","Oceania"
"sant1410","Santali","Austroasiatic","Indic"
"nort2930","Northeast Kiwai","Kiwaian","S New Guinea"
"akan1250","Akan","Atlantic-Congo","African Savannah"
"sioo1240","Sio","Austronesian","N Coast New Guinea"
"apal1257","Apalaí","Cariban","NE South America"
"mand1436","Mandinka","Mande","African Savannah"
